canonical_smiles,campaigns_hit,targets_hit,n_campaigns,tier_A_hits,tier_B_hits,tier_C_hits
C#[N+]c1ccc(NS(=O)(=O)C2CCOCC2)cc1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0
C(=CCCCCCCC1CCCC1)CCCC=CCCCC1=CCCCC1,['cfl1_stabilizer'],['CFL1'],1,0.0,1.0,0.0
C(=CN1CCCC1)c1ccc2ccccc2c1.CC(=O)NNCCCOCCO,['limk1_activator_alphaC'],['LIMK1'],1,0.0,1.0,0.0
C(=CNC(c1ccccc1)c1ccccc1)CCCc1ccccc1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C(=CNNN=NN=Nc1ncnc2ccccc12)NN=Nc1ccccc1,['cfl1_stabilizer'],['CFL1'],1,0.0,1.0,0.0
C(=C[C@@H]1CNCCO1)C(=CC1=CC=NC(c2cc[nH+]cc2)=CN1)c1ccccc1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C(=NN=NN=NNCCNNc1ccc(-c2ccccc2)cc1)c1ccccc1,['cfl1_stabilizer'],['CFL1'],1,0.0,1.0,0.0
C(=NNCc1ccccc1)c1cncnc1Nc1ccccc1,['hdac2_inhibitor'],['HDAC2'],1,0.0,1.0,0.0
C(=NNc1nc[nH]c2c(-c3ccccc3)cnc1-2)c1cccc2ccccc12,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C(=Nc1nccc(-c2ccc(-c3ccc4ccccc4c3)cc2)[nH+]1)c1cnn[nH]1,['cdk5_activator_p25iface'],['CDK5'],1,0.0,1.0,0.0
C(CNN=[N+]=NN=Nc1ccc2ccccc2c1)=NN=Cc1ccccc1,['cfl1_stabilizer'],['CFL1'],1,0.0,1.0,0.0
C(CNc1[nH]cnc2cnnc1-2)=NN=Nc1nnc(Nc2ccccc2)[nH+]n1,['cfl1_stabilizer'],['CFL1'],1,0.0,1.0,0.0
C(Cc1cccc[nH+]1)=NNc1cc[n+](C2CCNCC2)c2ccccc12,['perp_pocket3_alphaC'],['PERP'],1,1.0,0.0,0.0
C(Nc1cccc(CN2CCCCC2)c1)=C1NN=C(c2ccccc2)O1,['musk_activator_alphaC'],['MuSK'],1,1.0,0.0,0.0
C.O=C(O)c1cccc2c1[C@H]1C=CCC=C[C@@H]1C2=O.OCc1cccnc1,['musk_activator_alphaC'],['MuSK'],1,1.0,0.0,0.0
C/C(=N\C(=O)COc1ccccc1)c1cccc(CN2C=CC=COC=CC=N2)c1,['musk_activator_alphaC'],['MuSK'],1,1.0,0.0,0.0
C/C=C\c1ccc(NS(=O)(=O)C2CCOCC2)cc1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0
C1=C(c2ccc3c(c2)OCO3)Nc2ccncc2C(c2ccc3ccccc3c2)=N1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=C(c2ccc3ncccc3c2)c2c(-c3ccncc3)cnc3cccc(c23)O1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=C(c2ccccc2)Nc2ccccc2C(OCc2ccc[nH+]c2)=C1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=C2CNCCc3cccc(c3)Nc3cc(nc[nH+]3)Cn3ccc(c3=C1)=CN2,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=C2Cn3cnnc3CCCCOc3cccc(c3)CNC2=CC=C(c2ccccc2)N1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=C2c3ccccc3Cc3nccn3CCC(=N1)Nc1ccccc12,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=CC(C2CCN2Cc2ccc[nH+]c2)=CC2=Cc3ccccc3NC2=C1,['mtor_inhibitor'],['mTOR'],1,0.0,0.0,1.0
C1=CC(c2cc[nH+]c(Cc3ccc(N4CCCCCC4)cc3)n2)=CC2=CNC=NC2=C1,['jak2_inhibitor'],['JAK2'],1,0.0,0.0,1.0
C1=CC2=CC3=CNC2=CC=C1CNCCCNc1[nH+]ccc2occ3c12,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=CC=C(N2CC3CCNC3C2)c2[nH]c3nc4ccccc4[nH+]c3c2C=C1,['mtor_inhibitor'],['mTOR'],1,0.0,0.0,1.0
C1=CC=C(NNN=CCCCC=NC=C2CCC3CCCCC23)NN=C1,['limk1_activator_alphaC'],['LIMK1'],1,0.0,1.0,0.0
C1=CC=C2C(=CNc3c2c2nc4ccccc4[nH+]c2n3Cc2ccc[nH+]c2)C=C1,['jak2_inhibitor'],['JAK2'],1,0.0,0.0,1.0
C1=CC=C2N=C(NCc3cc4ccccc4[n+]4c[nH]nc34)NC=C2C=C1,['jak2_inhibitor'],['JAK2'],1,0.0,0.0,1.0
C1=CC=C2NC=C(C3=NN=C4C(c5ccccc5)=c5ccsc5=[N+]34)C=C2C=C1,['mtor_inhibitor'],['mTOR'],1,0.0,0.0,1.0
C1=CCC2=C=C3OC=CC3CC2C=1.COC(=O)NNCCc1ccccc1,['limk1_activator_alphaC'],['LIMK1'],1,0.0,1.0,0.0
C1=CN(c2ccnc(Cc3ccccc3)n2)c2cccc(-c3ccccc3)c2N=C1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0
C1=CN=C(NNN=NN=C(c2ccccc2)c2c[nH]c3ccccc23)CC1,['cfl1_stabilizer'],['CFL1'],1,0.0,1.0,0.0
C1=CNC(N=c2[nH]c2=NNc2cnc3c(N4CCCC4)cncc3c2)N=N1,['dok7_binder'],['DOK7'],1,1.0,0.0,0.0
C1=CNC(c2ccccc2Cn2ccnc2)=CC(c2cn[nH]c2)=C1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=CNC2=NC=NC=C(CN3CCCC[C@@H]3c3ccccc3)C2=C1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=CNC=C(CC[N@@H+]2CCc3cnc4ccccc4c3C[C@H]2c2cccc[nH+]2)C=C1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=CNc2cc(C3CNCCN3Cc3cccc(-c4ccc[nH+]c4)c3)cnc2N=C1,['jak2_inhibitor'],['JAK2'],1,0.0,0.0,1.0
C1=CNc2nc(cs2)-c2cncc(c2)Oc2ccc3c(cccc3c2)CN=C1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=Cc2c3c(cc[n+]2=N1)=NC(NC1CC2CNCCC2CC1Oc1ccccc1)=N3,['rock1_inhibitor_atp'],['ROCK1'],1,0.0,0.0,1.0
C1=Cc2ccc(Nc3nc4c[nH+]ccc4nc3-c3ccccc3)cc2C=CN1,['jak2_inhibitor'],['JAK2'],1,0.0,0.0,1.0
C1=Cc2cccc(c2)CN(Cc2ccccc2)Cc2cccn3cc(nc23)C=NC1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=Cc2n[nH+]c3cccnc3c2C=C2Nc3ccccc3N=C12,['mtor_inhibitor'],['mTOR'],1,0.0,0.0,1.0
C1=Cn2[nH+]nnc2C2=Nc3ccccc3NC2=N1.c1ccc2ccccc2c1,['hdac2_inhibitor'],['HDAC2'],1,0.0,1.0,0.0
C1=NC2=C3C(=CNc4ccccc43)CCCN(c3cc[nH+]cc3)C2=[NH+]1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=NC2=NC=C(CN3CCCC(C3)NCc3ccccc3-c3ccc(cc3)N2)N1,['hdac2_inhibitor'],['HDAC2'],1,0.0,1.0,0.0
C1=NC2=NCCN3C[C@H](NCC(=C1)N2)c1ncnc2cccc(c12)[C@H]3c1ccccc1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=NCC2NCC3CC=CC=1C32.CC1CCC=CC2=NNC=CC21,['limk1_activator_alphaC'],['LIMK1'],1,0.0,1.0,0.0
C1=NCCc2ccc3cccc4ncc(c-4c3c2)-c2cccc(c2)-c2ccccc21,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=NN=C2C(c3ccccc3)=c3ccc4ncccc4c3=C12.Cc1ccncc1C,['hdac2_inhibitor'],['HDAC2'],1,0.0,1.0,0.0
C1=Nc2c(Cc3cccc4ccncc34)ccc3nc4ccccc4c(c23)N=C1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=Nc2ccncc2[C@@H]1CCOc1cccc2c1=C1C(=Nc3ccccc31)N=2,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C1=Nc2ncnc3c2=C1Cc1c(Cc2ccccc2)cccc1N=3,['pak1_activator_alphaC'],['PAK1'],1,0.0,1.0,0.0
C1=Nc2ncnc3nc(-c4ccc5ccc(N6CCCC6)cc5c4)nc1c23,['mtor_inhibitor'],['mTOR'],1,0.0,0.0,1.0
C1CC2CCC1CCC(C1ON3C4CNCC4CC4CC5OC5C(O4)OC13)C2,['pak4_activator_alphaC'],['PAK4'],1,0.0,1.0,0.0
C=C(C(C1=NC(c2ccc(OCC(=O)O)cc2)=C1)=[N+](C)C)c1ccc(OC)cc1,['cdk5_activator_p25iface'],['CDK5'],1,0.0,1.0,0.0
C=C(C)c1ccc(NS(=O)(=O)C2CCOCC2)cc1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0
C=C(Cc1cnc2ccccc2c1)NS(=O)(=O)c1ccc2ncccc2c1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0
C=C(N=CCNc1cc(C)[nH+]cn1)[C@H]1Cc2cc3c(cc2O1)NN=C(S)N=C3,['cfl1_stabilizer'],['CFL1'],1,0.0,1.0,0.0
C=C(O)C(C)C1C=CC(OCCO)CC1.COCCCCc1cnccn1,['limk1_activator_alphaC'],['LIMK1'],1,0.0,1.0,0.0
C=C1C(C)CC2(C(=O)NCC3C(O)CC(C)C(O)C3C)CCCC1C2C,['pak4_activator_alphaC'],['PAK4'],1,0.0,1.0,0.0
C=C1C2CC3C(NC4NC4CC(O)CCO)CC4CC5(C)CCC1C5(C2)C43C.O,['pak4_activator_alphaC'],['PAK4'],1,0.0,1.0,0.0
C=C1C2CC3C4CCC5C(CC(C53)C1(C)CN2C1CCN(NO)C(O)C1)C1=CCCC14,['pak4_activator_alphaC'],['PAK4'],1,0.0,1.0,0.0
C=C1C2CCC(C)C3(CCCCC23)C1CCC1N[SH]=CC(O)OC(=O)C1C,['pak4_activator_alphaC'],['PAK4'],1,0.0,1.0,0.0
C=C1CC([N+]#[N+]c2ccc3nc(C)nc-3cc2)CC2OC(=O)C(O)C12,['rock2_activator_alphaC'],['ROCK2'],1,1.0,0.0,0.0
C=C1CC1C(O)NCNCC1(O)CC2(C)C(C)CC1CC1CC12CC(C)C(C)C,['pak4_activator_alphaC'],['PAK4'],1,0.0,1.0,0.0
