scaffold,count,n_targets,targets,campaigns
O=S(=O)(Nc1ccccc1)C1CCOCC1,26,1,PERP,perp_genmol_hop
O=c1cc(-c2ccc3nccn3c2)nc2ccccn12,7,1,SMN2,smn2_splice_genmol_hop
O=S(=O)(c1ccccc1)N1CCCC1,3,1,PERP,perp_genmol_hop
c1cnnc(-c2ccc(-c3cn[nH]c3)cc2)c1,3,1,SMN2,smn2_splice_genmol_hop
O=c1[nH]ccc2ccccc12,2,1,ROCK1,rock1_inhibitor_atp
c1ccc(-c2ccc(OC3CCNCC3)nn2)cc1,2,1,SMN2,smn2_splice_genmol_hop
c1cn2cc(CN3CCNCC3)ccc2n1,2,1,SMN2,smn2_splice_genmol_hop
O=c1ccc2ccc(N3CCNCC3)cc2o1,2,1,SMN2,smn2_splice_genmol_hop
O=c1oc2ccccc2cc1-c1cn2ccncc2n1,2,1,SMN2,smn2_splice_genmol_hop
O=c1oc2cc(N3CCNCC3)ccc2cc1-c1cn2ccncc2n1,2,1,SMN2,smn2_splice_genmol_hop
C(=NNc1ccc2ccc(-c3ccccc3)nc2c1)c1ccccc1,1,1,MuSK,musk_activator_alphaC
O=C(Nc1ccc(NCc2ccccc2)cc1)Nc1cccc(Cc2ccccc2)c1,1,1,MuSK,musk_activator_alphaC
O=C(Nc1ccccc1)c1cccn1-c1ccc2ccccc2c1,1,1,MuSK,musk_activator_alphaC
O=C(Nc1ccccc1)c1ccc(Oc2ccc3c(c2)CNC3)cc1,1,1,MuSK,musk_activator_alphaC
c1ccc(Cc2ccc(NCc3ccc(Cc4ccccc4)nc3)cc2)cc1,1,1,MuSK,musk_activator_alphaC
O=C(Nc1cccc(-c2ccccc2)c1)c1ccccc1,1,1,MuSK,musk_activator_alphaC
O=C(NCCNCc1ccccc1)c1cnc2ccccc2c1,1,1,MuSK,musk_activator_alphaC
O=C1NN=C(C(=O)OCc2ccccc2)C(=O)C1=CNc1ccccc1,1,1,MuSK,musk_activator_alphaC
O=C(Nc1ccc(N2CCCC2)cc1)c1ccc2ccccc2c1,1,1,MuSK,musk_activator_alphaC
O=C(Nc1c[nH]c2ccccc12)c1ccc(N2CCCC2)cc1,1,1,MuSK,musk_activator_alphaC
O=C(NCc1cc[nH+]cc1)c1ccc2c(c1)CC[NH+]2C(=O)NN=Cc1ccccc1,1,1,MuSK,musk_activator_alphaC
N=c1[nH]c2cc(OCc3ccccc3)ccc2cc1C(=O)NCc1ccccc1,1,1,MuSK,musk_activator_alphaC
O=C(NCCOCc1ccccc1)c1ccc2c(c1)C(=O)N1CCCCC1C2=O,1,1,MuSK,musk_activator_alphaC
c1ccc(C2CCNc3cc4ccccc4cc3O2)cc1,1,1,DUSP1,dusp1_inhibitor
O=C(NN=COCc1ccccc1)c1ccc(Cc2ccccc2)nc1,1,1,MuSK,musk_activator_alphaC
C(Cc1ccccc1)=Nc1ccc2c3c(ccc2c1)NCC3,1,1,MuSK,musk_activator_alphaC
c1ccc(Oc2ccccc2-c2ccccc2)cc1,1,1,MuSK,musk_activator_alphaC
O=C(NCc1ccccc1)c1cc(-c2ccccn2)ccn1,1,1,MuSK,musk_activator_alphaC
O=C(N=Cc1cnc2ccccc2c1)c1ccc(-c2ccccc2)o1,1,1,MuSK,musk_activator_alphaC
c1ccc2c(c1)NCC2=NCc1ccc2ncccc2c1,1,1,MuSK,musk_activator_alphaC
