gene_symbol	delta_depsc	pvalue	fdr	druggable_probe	has_approved_drug	open_targets_score	mechanism_hypothesis	mean_depsc_low	mean_depsc_high	t_stat	mwu_pvalue	n_low	n_high	passes_effect_filter
CFL1	0.095362	0.012709	0.16021	no	no	0.40	Scaffold; indirect via LIMK/SSH axis	-0.6613	-0.75666	2.4998	0.007998	285	285	False
ROCK2	0.059545	0.0027937	0.071396	yes	yes	0.90	Belumosudil approved (cGVHD); Bryzant lead axis	0.096208	0.036663	3.0032	0.00059037	285	285	False
ZPR1	0.051053	0.075929	0.3738	no	no	0.30	SMN interactor; early-stage modifier	-1.5239	-1.575	1.7781	0.035394	285	285	False
STMN1	0.048295	0.0021259	0.061729	no	no	0.40	Microtubule destabilizer; scaffold	-0.0056896	-0.053985	3.0876	0.003691	285	285	False
HSP90AB1	0.046061	0.017116	0.18553	yes	no	0.55	HSP90 paralog	-0.21192	-0.25798	2.3914	0.020842	285	285	False
ROCK1	0.028577	0.083243	0.39122	yes	yes	0.85	Fasudil / netarsudil / ripasudil approved; Bowerman 2012 SMA evidence under QMS audit	-0.014812	-0.043389	1.7352		285	285	False
SSH1	-0.024884	0.034639	0.26238	partial	no	0.55	Phosphatase; Bryzant APPROVE/REJECT campaign pending	-0.19049	-0.16561	-2.1177		285	285	False
CHRND	-0.0214	0.081012	0.38621	unknown	unknown	unknown	(no curated annotation)	-0.17979	-0.15839	-1.748		285	285	False
LRP4	-0.019779	0.084525	0.39391	no	no	0.60	Extracellular receptor; antibody-accessible	-0.17784	-0.15806	-1.728		285	285	False
CHRNG	0.019709	0.12003	0.45947	partial	yes	0.50	Fetal AChR; neonatal-specific	-0.24212	-0.26183	1.557		285	285	False
RAPSN	-0.015471	0.082669	0.38983	no	no	0.50	Scaffold protein; indirect only	-0.015113	0.00035831	-1.7385		285	285	False
DOK7	-0.014829	0.11324	0.44941	no	no	0.55	Gene therapy target (Bertolin 2018); not small-mol druggable	0.042039	0.056869	-1.5862		285	285	False
KCNJ2	0.01399	0.1868	0.55331	partial	no	0.40	Kir2.1; chloroquine / pentamidine weak probes	0.054287	0.040297	1.3217		285	285	False
LIMK1	0.013491	0.28069	0.6504	yes	no	0.50	LX7101 / T56-LIMKi probes	-0.023292	-0.036783	1.0798		285	285	False
PAK4	-0.010416	0.41253	0.74981	yes	no	0.50	KPT-9274 / PF-3758309 probes; broad kinase family	-0.086099	-0.075683	-0.82006		285	285	False
HSP90AA1	0.01016	0.44567	0.77087	yes	no	0.55	HSP90 — ganetespib / luminespib / 17-AAG	-0.19772	-0.20788	0.76318		285	285	False
MUSK	0.009807	0.24644	0.62194	partial	no	0.70	Receptor tyrosine kinase — small-molecule activators in preclinical	0.039508	0.029701	1.1602		285	285	False
CHRNA1	0.0088749	0.39052	0.73523	partial	yes	0.60	AChR alpha; pyridostigmine / 3,4-DAP indirect modulation	-0.014986	-0.023861	0.85933		285	285	False
SSH2	-0.0087034	0.52684	0.81952	no	no	0.30	Phosphatase; redundant with SSH1	-0.21449	-0.20579	-0.63323		285	285	False
KCNA2	0.008561	0.42593	0.75891	partial	no	0.50	Kv1.2 channel; 4-AP cross-reactive	-0.024657	-0.033218	0.79675		285	285	False
PLS3	0.0083486	0.41875	0.75335	no	no	0.55	Actin-bundling protective modifier (Oprea 2008)	0.13874	0.13039	0.80918		285	285	False
SCN5A	0.0083015	0.34889	0.70608	yes	yes	0.60	Mexiletine / flecainide approved for cardiac; CNS repurpose untested	-0.097651	-0.10595	0.93752		285	285	False
CHRNE	-0.0076105	0.43458	0.76498	unknown	unknown	unknown	(no curated annotation)	-0.072438	-0.064827	-0.78194		285	285	False
AGRN	0.0074195	0.5136	0.8118	no	no	0.65	Biologic/peptide modality only; Ataluren-like readthrough unlikely	-0.13378	-0.1412	0.65366		285	285	False
CHRNB1	-0.0071373	0.343	0.70296	unknown	unknown	unknown	(no curated annotation)	-0.024442	-0.017305	-0.94906		285	285	False
LIMK2	-0.0068051	0.57998	0.84602	yes	no	0.80	Bryzant αC-allosteric campaign; 5-SMILES pick-list 2026-04-18	0.057991	0.064796	-0.55374		285	285	False
CHDH	-0.0063561	0.51914	0.81366	unknown	no	0.10	Choline dehydrogenase; mitochondrial modifier candidate	-0.010497	-0.0041408	-0.64507		285	285	False
GAP43	0.0043646	0.64341	0.87527	no	no	0.45	Growth-cone marker; indirect	0.17392	0.16956	0.46318		285	285	False
NCALD	-0.003827	0.73573	0.91552	partial	no	0.60	Riessland 2017: LoF protective in SMN-Δ7 mice; PROTAC/AON strategy	-0.064323	-0.060496	-0.33767		285	285	False
HSPB1	0.0036167	0.75763	0.92491	no	no	0.40	HSP27; SMAD/MAPK chaperone	0.02583	0.022213	0.30875		285	285	False
KCNQ2	0.0029677	0.7481	0.92202	yes	yes	0.55	Retigabine / XEN1101 for KCNQ2 encephalopathy	0.047083	0.044115	0.3213		285	285	False
CFL2	-0.0029128	0.7352	0.91531	no	no	0.45	Scaffold; indirect via LIMK/SSH axis	-0.03103	-0.028117	-0.33838		285	285	False
PERP	0.0022238	0.85047	0.95905	partial	no	0.50	Desmosomal tetraspan; binder-only modality	-0.065961	-0.068185	0.18861		285	285	False
KCNQ3	-0.00098515	0.89572	0.97154	yes	yes	0.55	Retigabine / XEN1101	0.020833	0.021818	-0.13112		285	285	False
COPG1	-0.3544	6.4426e-11	1.1459e-06	unknown	unknown	unknown	(no curated annotation)	-1.6044	-1.25	-6.6608	9.4341e-11	285	285	True
CCND1	-0.30412	3.6615e-05	0.0062742	unknown	unknown	unknown	(no curated annotation)	-1.3569	-1.0528	-4.161	1.9441e-05	285	285	True
GRB2	-0.27759	1.8664e-06	0.0011892	unknown	unknown	unknown	(no curated annotation)	-1.1475	-0.86996	-4.8179	9.3382e-06	285	285	False
CRKL	-0.2432	7.9247e-06	0.0023108	unknown	unknown	unknown	(no curated annotation)	-1.084	-0.8408	-4.5095	8.9919e-06	285	285	False
SBDS	-0.21457	8.4471e-05	0.0099502	unknown	unknown	unknown	(no curated annotation)	-2.2146	-2	-3.9601	0.0001434	285	285	False
KLF5	-0.20656	2.1814e-08	6.7414e-05	unknown	unknown	unknown	(no curated annotation)	-0.50276	-0.2962	-5.688	1.0797e-06	285	285	False
SNRPB2	-0.20607	2.12e-07	0.00031124	unknown	unknown	unknown	(no curated annotation)	-0.84868	-0.64262	-5.2545	2.6594e-07	285	285	False
COPB1	-0.20515	4.8802e-08	9.6449e-05	unknown	unknown	unknown	(no curated annotation)	-2.4912	-2.2861	-5.5305	3.6131e-08	285	285	False
SEPHS2	0.20469	9.723e-05	0.010233	unknown	unknown	unknown	(no curated annotation)	-0.79135	-0.99604	3.9254	1.1815e-06	285	285	False
CFLAR	-0.20209	0.00025782	0.018487	unknown	unknown	unknown	(no curated annotation)	-0.8335	-0.63141	-3.6779	8.4799e-05	285	285	False
CBFB	0.19858	8.2493e-07	0.00081517	unknown	unknown	unknown	(no curated annotation)	-0.13202	-0.33059	4.9925	0.00052426	285	285	False
PPP1R12A	-0.19672	7.7281e-05	0.0095459	unknown	unknown	unknown	(no curated annotation)	-1.3122	-1.1154	-3.9818	0.00036712	285	285	False
TYMS	-0.19567	0.0012724	0.046562	unknown	unknown	unknown	(no curated annotation)	-0.90663	-0.71096	-3.239	0.0023518	285	285	False
RBM8A	-0.19381	1.158e-06	0.0010299	unknown	unknown	unknown	(no curated annotation)	-1.6003	-1.4065	-4.9161	1.5728e-06	285	285	False
CDAN1	0.19333	0.00028341	0.019692	unknown	unknown	unknown	(no curated annotation)	-0.91962	-1.1129	3.6528	0.00047859	285	285	False
CHMP4B	0.1921	0.00042909	0.025037	unknown	unknown	unknown	(no curated annotation)	-1.1764	-1.3685	3.5425	0.0012118	285	285	False
