id,smiles,mw,logp,hbd,hba,tpsa,rotb,qed,lipinski_ok,bbb_ok
279,OC1CCCC[C@@H]2C=C(OCc3cccc4nnccc34)C[C@@H]3C1C32,336.44,3.85,1,4,55.24,3,0.925,True,True
198,C[C@H]1CCC(=O)C2=C3[C@@H](NN3C(OCCc3ccccc3)CC2)C1=O,340.42,2.38,1,5,58.64,4,0.912,True,True
310,Cc1cncc(C=CCN2CC3C(=N)[C@H](C)NCCC3C2=O)c1,312.42,1.88,2,4,69.08,3,0.895,True,True
149,Cc1cccc(Cc2cc(C)nc(NC(=O)N[C@H]3CC(=O)CCO3)c2)c1,353.42,3.12,2,4,80.32,4,0.885,True,True
514,COc1ccc2cc(CNC3=C[C@@H]4CCCC[C@H](C)C4NC3=O)oc2c1,354.45,3.74,2,4,63.5,4,0.878,True,True
339,O=C1NC2=CN(C=Cc3ccnc4cccnc34)C=NC3=C2C1CN3,330.35,1.35,2,6,82.51,2,0.868,True,True
296,CC12CN[C@@H]1C(N)C1=NON(C=Cc3cccc(-c4ccccc4)c3)C=C1C2,372.47,3.52,2,5,62.88,3,0.865,True,True
470,O=C1C=C(c2ccc3cccnc3c2)C=C2CC[C@H]3ON[C@@H]4ON1C2=C43,345.36,2.61,1,5,63.69,1,0.861,True,True
388,Cc1cnc(-c2ccc3c(c2F)[N+]2=N[C@H]2CC[C@H](C(=O)O)C3)cn1,327.34,3.06,1,4,78.45,2,0.86,True,True
583,C[C@H]1CC2=NC(Nc3cc(-c4ccccc4)c(C4CCC4)nn3)=N[C@@H]2CCN1,374.49,3.77,2,6,74.56,3,0.857,True,True
197,COc1cc(C=NC=C2C[C@H]3CNCC4CCCC2C43)c2nnccc2n1,363.47,2.99,1,6,72.29,3,0.849,True,True
312,C=C(NC1=[N+]2[C@H](C)[C@H]3CCCC(C)(C)C(C3)C(=O)N12)c1ccccc1,338.47,3.61,1,2,35.12,2,0.836,True,True
441,O=C(O)c1ccc(C#[N+]C2=N[C@H]3CC=CC4=C(O)O[C@@H](C2)C43)cc1,323.33,2.98,2,4,83.48,1,0.832,True,True
163,O=C1C=C2N[N+](=Nc3cccc(CCCc4ccccc4)c3)CC2=NCC1,359.45,3.77,1,3,56.83,5,0.826,True,True
459,Cc1cnc2ncc(N=NC3C=C4CCCCC5=C4C(C=N3)CN5)nc2c1,359.44,3.8,1,7,87.78,2,0.826,True,True
407,O[C@@H]1C=C2CCC3=NC(C=Cc4ccccc4)=NNC3=C3C2[C@@H]3C1,317.39,3.04,2,4,56.98,2,0.824,True,True
45,O=C1C=C2C(C=CN2C(=O)C=Cc2ccc(F)cn2)NC1,285.28,1.01,1,4,62.3,2,0.824,True,True
491,CC(=O)Nc1cc2c3c(nc4c(c3c1)O[C@@H]1N[C@@H](C)CCC41)C=CC=C2,347.42,3.81,2,4,63.25,1,0.823,True,True
529,Fc1ccc(-c2ccccc2CCC2=[N+]=[N+]=C3OC[C@H]4NCC=C4C3=N2)cc1F,392.41,2.61,1,3,61.82,4,0.813,True,True
590,C=C1CCCO[C@@H]2CC(C=Cc3cccc4c3N=C3C=NN=C34)=NN=C12,343.39,3.51,0,6,71.03,2,0.81,True,True
181,NC1=C=C2CC(=Nc3cc(N4CCCC4)ncn3)NC2=C2CCCC=C12,346.44,2.85,2,5,79.43,2,0.805,True,True
331,CC(=O)NC=CC1=NC2=C3C(=NN[C@H]3CCCC2)C=C1,270.34,1.8,2,4,65.85,2,0.803,True,True
403,O=C1[C@@H]2[C@H]3CC3NNC[C@@H]3C[C@]32C(=O)N1C=Cc1ccc(-c2ccccc2)cc1,385.47,2.81,2,4,61.44,3,0.798,True,True
130,N=C1C(=O)C=C2NC[C@H]3N=C([N+]#Cc4ccc(-c5cccnc5)cc4)C[C@H]3C=C12,380.43,3.23,2,5,82.56,1,0.797,True,True
70,OC1CC[C@H]2C[C@@H]([C@@H](O)COc3ccnc4ccccc34)C[N+]3=CCC[N+]1=C23,381.48,1.62,2,4,68.6,4,0.79,True,True
384-incomp,C[C@@H](O)[C@H]1O[C@@H]1C.O=C1C[C@@H]2CCN1C[C@@H]2OC1=Cc2ccccc2NC=C1,384.48,2.76,2,5,74.33,3,0.784,True,True
472,C=C1C=C=CC2=C=NN(C(C)Oc3ccccc3-c3cccnn3)C=CC2=N1,367.41,3.89,0,6,62.97,4,0.769,True,True
156,C=C1CCCCC2C(=O)CC2=C1NNNC(=O)c1ccccc1,311.38,2.4,3,4,70.23,4,0.747,True,True
429,CN(C)N1CCN2C(=O)N(c3ccc(OC(F)(F)F)c(F)c3)CC[C@@H]2C1=O,390.34,2.04,0,4,56.33,3,0.742,True,True
92,Cc1ccc2c([N+]#[N+]C3=CN=C4C(=NC(=O)NC5=C4C5)C3)cnnc2c1,343.35,3.74,1,4,88.32,0,0.739,True,True
27,Cc1c[nH+]c2c(n1)c1ccccc1n2CCC1=CNC2=C(C=N1)C(CO)=NC2,373.44,1.92,2,6,88.94,4,0.732,True,True
305,CNC(=O)c1cccc(NCC2=NCC=C3CC[C@@H](O)[C@@H]4C3=C2C[C@H](C)[C@@H]4C)c1,393.53,3.58,3,4,73.72,4,0.732,True,True
141,Cc1ccc2ncnc(C=Cc3cc(=O)n4c(n3)NC3=CCCCCN3C4)c2c1,386.46,3.38,1,7,75.94,2,0.728,True,True
344,Nc1nc(C#[N+]c2ccccc2)cc(C2=[N+](Nc3ccccn3)C2)n1,329.37,2.31,2,5,84.09,3,0.72,True,True
169,CC1C2=C3C(=CC2=O)CC(O)C3C2C1=C(C#Cc1ccccc1F)C2O,348.37,2.3,2,3,57.53,0,0.708,True,True
349,COc1ccc(-c2cc(C#CC3=NN[C@H](C)N3)nn2-c2ccccc2)cc1,357.42,2.75,2,6,63.47,3,0.708,True,True
419,O=C1CC2C=NC(NCCCn3cnn4ccc5nccc-5c34)=C3C[C@H]1C32,360.42,2.14,1,7,76.58,5,0.707,True,True
456,CN(C=O)Cc1ccc2nccc(Cc3ccc(C(N)=O)cc3)c2c1,333.39,2.51,1,3,76.29,6,0.704,True,True
487,CN1CC[N+]2=C(O)C(=C3C[C@@H]3CCCN3CC[C@H]4C=C(Oc5ccccc5)CN43)C[C@H]2C1,435.59,3.04,1,4,42.19,6,0.696,True,True
267,O=C1C(O)C[C@@H]2OO[C@@H]3CCCCc4cccc(n4)NCC4=CC3=C2[C@@H]14,354.41,2.11,2,6,80.68,0,0.695,True,True
270,N[C@H]1CCCC2=NN=[N+](NCC3=CC=C4NC=CC=C4C=C3)CC21,323.42,1.88,3,5,77.81,3,0.694,True,True
465,O=C1CCCC2=c3[nH][n+](NCc4ccccc4-c4ccccc4)cc3=CC[C@H]12,370.48,2.42,2,2,48.77,4,0.693,True,True
122,CN(C)c1nn(C)c2nc(C=C=CNC3O[C@@H]4[C@@H]5CNC(=C[C@@H]6C[C@H]36)[C@@H]54)[nH]c12,379.47,1.17,3,7,83.03,4,0.692,True,True
73,O=C1C2=C[C@@H](O)C[C@H]3CCC(N=C1NCCC(c1ccccc1)N1CN1)C23,366.47,1.55,3,6,86.64,5,0.689,True,True
260,CC1=C[N+](=Cc2cc(C)c[nH+]c2NCc2cccc(-c3ccc(C)n[nH+]3)c2)N=C1,385.5,2.94,1,3,68.57,5,0.686,True,True
460,CC1C=C(O)C2=C=CC(=NCc3cccc(CN4CC[C@H](O)C(=O)C4)c3)C=C2N1,391.47,2.18,3,6,85.16,4,0.685,True,True
258-incomp,C1=CNC=c2ccncc2=C1.C[C@H](C1CC1=O)[C@@H]1CC1=C(O)C1([C@@H]2C[C@H]2O)CC1,392.5,1.92,3,5,82.45,4,0.682,True,True
298,CC1=CC=C2N=C(C#CC3CC[C@H](O)CN3)NC(c3cccc[nH+]3)=C2C=C1,359.45,1.73,3,4,70.79,1,0.669,True,True
