filename,strategy,smiles,MW,logP,TPSA,HBD,HBA,QED,BBB,tanimoto_limki3
31.sdf,A,O=c1nc(-c2ccc3[nH]c4ccncc4c3c2)cc(-c2ccccc2)[nH]1,338.37000000000006,4.133400000000003,74.43,2,3,0.5080064690356557,0.5375083938479204,0.1
166.sdf,A,Oc1ccccc1CNC1=CNC2=CC=C(Oc3cccc[nH+]3)C=CC2=C1,358.4210000000001,3.0835000000000017,67.66000000000001,3,4,0.768386052082703,0.695334192914471,0.11538461538461539
13.sdf,A,O=c1[nH]cnc2nc(C#Cc3ccccc3)nc(Nc3ccc(F)cc3)c12,357.348,2.9956000000000005,83.56,2,5,0.5389987783878138,0.5173454999486055,0.15492957746478872
441.sdf,A,Cc1ccc2c(CNc3ncncc3C(=O)NCCc3ccccc3)ccnc2c1,397.4820000000002,3.9178200000000025,79.8,2,5,0.49411370838099244,0.5106489985098609,0.16666666666666666
323.sdf,A,O=C1C[C@H](c2cccc(O)c2)Oc2cc(-c3ccc(O)cc3)ccc21,332.355,4.471300000000005,66.76,2,4,0.726371818939899,0.5338687105966622,0.08823529411764706
247.sdf,A,COc1ccc(-c2cc3c(Nc4ccccc4)nnc-3[nH]c2C)cc1,330.3910000000001,4.637120000000003,62.83,2,4,0.5721678523160622,0.5173326617593186,0.18461538461538463
343.sdf,A,Cc1n[nH]cc1CC[C@@H]1CN(c2nc3c(ccc4c[nH]ccc43)[nH+]2)CCO1,363.44500000000016,2.3997199999999994,83.97000000000001,2,4,0.5831093445244635,0.5017443205014473,0.06818181818181818
360.sdf,A,O=C(Nc1ccc(F)cc1)c1ccc2n[nH]c(-c3cnc[nH+]c3)c2c1,334.334,2.8304,84.81,2,3,0.6040312871133308,0.5005023319597398,0.21428571428571427
459.sdf,A,O=C(Nc1ccccc1)C1=Cc2c3c(cnc2=CC=C1)=CNC=C3,313.36,1.7658999999999998,54.02,2,3,0.8882694811919727,0.7027485189519805,0.24242424242424243
99.sdf,A,O=C(NCc1ccc2[nH]c(Cc3ccc[nH+]c3)cc(=O)c2c1)c1ccccc1,370.4320000000001,2.8630000000000004,76.1,2,2,0.5667417025036536,0.6124037023886214,0.2112676056338028
322.sdf,A,O=C(Nc1ccc2c(c1)OCO2)C1=Cc2cnc3ccccc3c2NC=C1,357.3690000000001,3.924800000000002,72.48,2,5,0.7271405520111682,0.5859240548659268,0.20270270270270271
68.sdf,A,O=C(O)CCc1cccc2cc(CN3CCN(c4ccc(O)cn4)CC3)ccc12,391.4710000000002,3.279800000000002,76.9,2,5,0.6715829553399946,0.5949394660377277,0.11392405063291139
388.sdf,A,O=C(O)c1ccc2c(-c3cc(O)c4ccccc4c3)nccc2c1,315.3280000000001,4.458800000000004,70.42,2,3,0.5727726773388895,0.5118007962520253,0.15625
