pert_id	pert_iname	cell_line	dose	dose_unit	connectivity_score	fdr	n_genes_overlapped	direction	pubchem_id	sig_id	is_neuronal	query_subset
BRD-A34806832	-666	NPC	10.0	um	0.0405	NA	8	reverse	9828429	CPC015_NPC_24H:BRD-A34806832:10.0	True	full
BRD-K61829047	7b-cis	A549	10.0	um	0.1818	NA	2	reverse	44589607	CPC006_A549_6H:BRD-K61829047:10.0	False	anchors
BRD-A43331270	niguldipine hydrochloride	HA1E	10.0	um	0.1818	NA	2	reverse	71317558	CPC006_HA1E_24H:BRD-A43331270:10.0	False	anchors
BRD-K31342827	GF-109203X	HA1E	12.12	um	0.1818	NA	2	reverse	2396	CPC006_HA1E_24H:BRD-K31342827:12.12	False	anchors
BRD-U88459701	atorvastatin	HA1E	10.0	um	0.1818	NA	2	reverse		CPC006_HA1E_24H:BRD-U88459701:10.0	False	anchors
BRD-K12994359	Valdecoxib	VCAP	177.6	um	0.1818	NA	2	reverse	119607	CPC006_VCAP_6H:BRD-K12994359:177.6	False	anchors
BRD-K39687892	-666	MCF7	10.0	um	0.1818	NA	2	reverse	710962	CPC012_MCF7_24H:BRD-K39687892:10.0	False	anchors
BRD-K77908580	-666	A549	10.0	um	0.1818	NA	2	reverse	4261	CPC013_A549_24H:BRD-K77908580:10.0	False	anchors
BRD-K86761848	-666	A549	10.0	um	0.1818	NA	2	reverse	24086306	CPC013_A549_24H:BRD-K86761848:10.0	False	anchors
BRD-K76840893	-666	A549	10.0	um	0.1818	NA	2	reverse	3894573	CPC017_A549_24H:BRD-K76840893:10.0	False	anchors
BRD-K74486276	-666	HT29	10.0	um	0.1818	NA	2	reverse	44506811	CPC019_HT29_6H:BRD-K74486276:10.0	False	anchors
BRD-K85818861	-666	MCF7	10.0	um	0.1818	NA	2	reverse	44506674	CPC019_MCF7_24H:BRD-K85818861:10.0	False	anchors
BRD-K86899078	-666	MCF7	10.0	um	0.1818	NA	2	reverse	44506648	CPC019_MCF7_24H:BRD-K86899078:10.0	False	anchors
BRD-K74486276	-666	PC3	10.0	um	0.1818	NA	2	reverse	44506811	CPC019_PC3_6H:BRD-K74486276:10.0	False	anchors
BRD-K12184916	NVP-BEZ235	A549	0.12	um	0.1818	NA	2	reverse	11977753	LJP005_A549_24H:BRD-K12184916:0.12	False	anchors
BRD-K21680192	mitoxantrone	HA1E	10	um	0.1818	NA	2	reverse	5458171	LJP009_HA1E_24H:BRD-K21680192:10	False	anchors
BRD-K77908580	entinostat	HCC515	10	um	0.1818	NA	2	reverse	4261	LJP008_HCC515_24H:BRD-K77908580:10	False	anchors
BRD-K87909389	alvocidib	HCC515	10	um	0.1818	NA	2	reverse	5287969	LJP006_HCC515_24H:BRD-K87909389:10	False	anchors
BRD-K01436366	XMD-1150	LNCAP	0.37	um	0.1818	NA	2	reverse	46843906	LJP006_LNCAP_3H:BRD-K01436366:0.37	False	anchors
BRD-A45498368	WYE-125132	MDAMB231	0.37	um	0.1818	NA	2	reverse	25260757	LJP006_MDAMB231_24H:BRD-A45498368:0.37	False	anchors
BRD-K72420232	WZ-4002	HEPG2	10	um	0.1818	NA	2	reverse	44607530	LJP007_HEPG2_24H:BRD-K72420232:10	False	anchors
BRD-K13662825	dinaciclib	HEPG2	0.12	um	0.1818	NA	2	reverse		LJP007_HEPG2_24H:BRD-K13662825:0.12	False	anchors
BRD-K17743125	belinostat	HA1E	3.33	um	0.1818	NA	2	reverse	6918638	LJP008_HA1E_24H:BRD-K17743125:3.33	False	anchors
BRD-K81418486	vorinostat	HA1E	10	um	0.1818	NA	2	reverse	5311	LJP008_HA1E_24H:BRD-K81418486:10	False	anchors
BRD-K43620258	3,5-dichloro-2-hydroxy-N-(2-methoxy-5-phenylphenyl)benzenesulfonamide	MDST8	80.0	um	0.1379	NA	4	reverse	16747776	CPC006_MDST8_6H:BRD-K43620258:80.0	False	panel25
BRD-K16485616	S1122	PC3	10.0	um	0.1379	NA	4	reverse	9865515	CPC014_PC3_6H:BRD-K16485616:10.0	False	panel25
BRD-K99545815	HY-10459	PC3	10.0	um	0.1379	NA	4	reverse	11713159	CPC014_PC3_6H:BRD-K99545815:10.0	False	panel25
BRD-K32501161	GBR 12909 dihydrochloride	HA1E	10.0	um	0.1034	NA	3	reverse	10238982	CPC002_HA1E_6H:BRD-K32501161:10.0	False	panel25
