gene	direction	log2FC	n_contrasts
TP53	UP	0.053393256017153855	4
NKX2-3	UP	4.471960834441569	2
LCN9	UP	3.7212721611445065	2
POU5F1B	UP	3.699633756916453	2
HAND1	UP	3.5675800215234723	2
NEUROD1	UP	2.545772753991896	2
DNAH17	UP	2.5358327060786485	2
LIN28A	UP	2.5135859805560514	2
DPPA4	UP	2.484570501320114	2
HIST1H1C	UP	2.4733830501785103	2
SIX2	UP	2.464428034850535	2
SHISA3	UP	2.459109514314103	2
NPNT	UP	2.283459966025883	2
LRRC37A6P	UP	2.0749662978438237	3
NPR3	UP	2.04945822283937	2
TMC8	UP	1.93377300631563	2
ATAD3C	UP	1.93076540738753	2
HSP90AA1	UP	1.8276820566547052	2
CCDC141	UP	1.815104590163465	2
ENPEP	UP	1.798067179046805	2
YOD1	UP	1.796757598581495	2
NPC1L1	UP	1.784491589954901	2
HIST2H4B	UP	1.7770785754547944	2
NHLH1	UP	1.7758542048685078	2
ADAMTS8	UP	1.752396580210935	2
NPAS4	UP	1.744060170356736	2
GSTA4	UP	1.7149711426739551	2
LSM11	UP	1.707912068063385	2
CHRNA3	UP	1.7050847362209902	2
FRZB	UP	1.6825782039595458	2
PNMA8A	UP	1.67853629653769	2
DHX33	UP	1.6748924406923051	2
NCOA4	UP	1.652501596477565	2
ERO1B	UP	1.63229259454852	2
HLF	UP	1.626734335075025	2
RNF212	UP	1.6209425739224668	2
PHTF2	UP	1.6187021449596721	2
DGAT2	UP	1.600269077578465	2
HRK	UP	1.5765840332798726	2
PRKG2	UP	1.558756573660098	2
GNL3L	UP	1.550654517468065	2
SMIM11A	UP	1.5376435248326	2
COL7A1	UP	1.49958615304896	2
HPGD	UP	1.4918218858667889	2
PLPPR5	UP	1.4875770770485048	2
USP22	UP	1.4851190594815549	2
DPPA2	UP	1.485009094891779	2
GUF1	UP	1.48126352210552	2
TMED5	UP	1.4703411037966498	2
XDH	UP	1.4635610017336744	2
MRPL10	UP	1.459613378866905	2
SLC31A1	UP	1.437933582897515	2
EVA1C	UP	1.43596857155483	2
SLCO1A2	UP	1.4355603962473191	2
DEPTOR	UP	1.43550112339164	2
PXMP4	UP	1.435257674171635	2
ADGRV1	UP	1.428097893222343	2
CNKSR1	UP	1.427400025794709	2
PLPPR4	UP	1.4242099241320494	2
KCNQ4	UP	1.423464031075612	2
HK1	UP	1.416995710348325	2
GNPDA1	UP	1.4064936334577252	2
NSF	UP	1.4004421546575698	2
ACADSB	UP	1.394629831330458	2
MESP1	UP	1.378719192554895	2
TUB	UP	1.37509197998697	2
UBE2V2	UP	1.3743552944479749	2
AOC3	UP	1.370540709838312	2
C17ORF58	UP	1.36649122119438	2
KLHL42	UP	1.3645554918012301	2
TMEM167B	UP	1.3615259471718115	2
FAM184B	UP	1.356249682250755	2
FGFR4	UP	1.3316017521077106	2
AEN	UP	1.3310626245242552	2
HOXD4	UP	1.3237477923640215	2
ACVR2B	UP	1.32338403316907	2
LGI1	UP	1.318588022243661	2
SAMD12	UP	1.3149352433733315	2
FSTL4	UP	1.31327777219784	2
FAM136A	UP	1.3130604662891452	2
RBBP9	UP	1.302882082256873	2
ARHGAP25	UP	1.2960562633616148	2
PPTC7	UP	1.2873690935635906	2
ZNF483	UP	1.284451181835968	2
PTGDR2	UP	1.266425380705005	2
PAQR3	UP	1.2635592487986291	2
SSR1	UP	1.25899828307466	2
PEAK1	UP	1.256251697813839	2
RNASEK-C17ORF49	UP	1.2534607297638	2
POLR2M	UP	1.2497572020104468	2
RAB4B	UP	1.249712661463845	2
BCL7A	UP	1.2483752919884101	2
CHRDL1	UP	1.244061949252014	2
PRPH	UP	1.243939438397743	2
TP53INP1	UP	1.2437882946247698	2
BEST1	UP	1.243264115999549	2
TEF	UP	1.241876175948339	2
RIOX2	UP	1.2391512434533336	2
AC068580.4	UP	1.2359093803908994	2
GSG1L	UP	1.2347060753040644	2
MAD2L1	UP	1.2327944226702392	2
ANKRD20A2	UP	1.232121659408341	2
PPP1R17	UP	1.2300316671090914	2
NHLH2	UP	1.228188388029359	2
TXNIP	UP	1.213780073181127	3
RHBDD3	UP	1.2127925372423805	2
AL136295.4	UP	1.2126555930971699	2
PAPSS1	UP	1.20822550235785	2
ARL5B	UP	1.2054493643700201	2
DLL4	UP	1.2011423771012901	2
PER3	UP	1.195898668940813	2
LIN28B	UP	1.195880076184793	2
GPD1L	UP	1.1937395086202298	2
UNKL	UP	1.189721871545036	2
STK39	UP	1.1883237555566215	2
C17ORF67	UP	1.184818095738846	2
KLHDC10	UP	1.1825682168911749	3
EPB41L4B	UP	1.175713886643152	2
FRMPD2	UP	1.1670716322069425	2
USP2	UP	1.1601707152679115	2
SMN2	DOWN	-3.26133626297268	2
SMN1	DOWN	-1.6683470555700428	3
PERP	DOWN	-0.24632075456478408	4
ROCK2	DOWN	-0.22958839312217086	4
GIPR	DOWN	-4.453245297812345	2
SLC22A18	DOWN	-3.9538153009653523	2
ITGA11	DOWN	-3.739571270801568	2
GNG12	DOWN	-3.7135032906929197	2
GASK1B	DOWN	-3.4699811388719852	2
CLDN6	DOWN	-3.3530961920042746	2
PLCXD3	DOWN	-3.26445685175909	2
ANOS1	DOWN	-3.2592545433651052	2
CD36	DOWN	-3.04142155413155	2
FNDC11	DOWN	-2.94644865002127	2
ADAMTS9	DOWN	-2.90578339657176	2
MYOZ3	DOWN	-2.8280229789741402	2
SOWAHA	DOWN	-2.820950790023805	2
IGFBP6	DOWN	-2.7957731852615506	2
SEC14L6	DOWN	-2.7703317318726675	2
MMP1	DOWN	-2.761759065117015	2
COL8A1	DOWN	-2.75569140032941	2
KRT8	DOWN	-2.751272821857334	2
BEX3	DOWN	-2.7162539762358797	2
CPNE4	DOWN	-2.61977423957709	2
COX4I1	DOWN	-2.60785847801489	2
HAPLN1	DOWN	-2.60356464721311	2
ZNF736	DOWN	-2.5970984994505844	2
BGN	DOWN	-2.5686087954200842	2
TICAM1	DOWN	-2.55987352244047	2
AC008758.3	DOWN	-2.552661545927895	2
EGR3	DOWN	-2.545609289532356	3
COX6B1	DOWN	-2.5452242988334	2
OPRK1	DOWN	-2.5405889896024445	2
ECM1	DOWN	-2.5014916559204203	2
RAB31	DOWN	-2.490400745684435	2
SLC6A1	DOWN	-2.484801345219186	2
LHFPL6	DOWN	-2.483738294084585	2
TAC3	DOWN	-2.430696468122805	2
ACOT11	DOWN	-2.428897037721665	2
FAM57B	DOWN	-2.40281487189592	2
UTS2	DOWN	-2.39132215264537	2
TNFAIP8L3	DOWN	-2.37430944473683	2
TAGLN2	DOWN	-2.371752999513903	2
MTPN	DOWN	-2.37024309606241	2
RNF167	DOWN	-2.36962329685795	2
TMEM154	DOWN	-2.3612300124863177	2
C10ORF82	DOWN	-2.32115350119137	2
SLFN11	DOWN	-2.295567071897277	2
FAM131C	DOWN	-2.277654927241207	2
GABRA2	DOWN	-2.266930735371387	2
