gene	n_datasets	meta_log2FC	meta_ci_lo	meta_ci_hi	I2	tau2	Q	meta_p
SMN2	4	-2.886014200384562	-3.6331659015496798	-2.1388624992194445	88.0879520396031	0.47556140715380585	25.184586311051433	3.708144902248023e-14
SMN1	4	-2.130460729909729	-2.8447346985708393	-1.4161867612486185	92.97525471611178	0.48571830945607597	42.70617479726591	5.032909422553189e-09
ROCK2	5	-0.2539611832612342	-0.38108652075991345	-0.12683584576255488	55.60059101525048	0.009610309430490663	9.009128930914228	9.020333686993176e-05
TP53	5	0.26040730515489824	0.02572277598587716	0.49509183432391934	72.99899358579603	0.04545718177989322	14.814262619099217	0.029643061384452496
MAPT	5	-0.16638978250399075	-0.3699804761986851	0.037200911190703595	93.67771540886801	0.03988594220927209	63.268268651029025	0.10918637040953882
CFL1	5	-0.10399945136041246	-0.2488460455587163	0.04084714283789141	86.66384399955524	0.02011669333367302	29.993650343221837	0.15934599496977042
PERP	5	-0.25740877853456073	-0.6917944206944502	0.17697686362532866	89.96033400848744	0.15925048321339486	39.84196290376158	0.24545520096062168
ROCK1	5	-0.07072938953020341	-0.21668825185108836	0.07522947279068154	71.44019663624036	0.018720168912688014	14.005698670445735	0.3422212813445604
CHAT	5	-0.5963821937087133	-1.9613977944129868	0.7686334069955603	98.2693929721862	2.2054049235951	231.13277224194633	0.3918131286698445
NEFL	5	-0.1669671891152328	-0.5496534637417244	0.21571908551125876	98.05053509142368	0.17121297289322696	205.18450895949655	0.39246590951273364
LIMK2	5	-0.20247940464793193	-0.7918457138185857	0.3868869045227219	98.40338336670331	0.4418451120675993	250.52977130401183	0.5007140429968766
LIMK1	5	0.0334003393413209	-0.06400160225054333	0.13080228093318513	64.18271249981215	0.006692740479087895	11.167791530776924	0.501514676297081
ISL1	5	0.06657288823113873	-0.22894805246768263	0.36209382892996006	89.33044282182662	0.08211955973328497	37.489840798480046	0.6588256742071912
MNX1	4	-0.05077969820655736	-0.48834933681820164	0.3867899404050869	84.0554953481151	0.14161324865944244	18.815259962593778	0.8200685242286805
PFN2	5	0.0247389201441251	-0.23120354842691976	0.28068138871516995	97.33771915666348	0.08173810467993275	150.24710897844216	0.8497401922272414
NEFH	5	0.01441890079675458	-0.3725546973764588	0.4013924989699679	92.93475698187102	0.17111778853969534	56.6151792618632	0.9417814968215383
PFN1	5	0.004843989792369592	-0.14509086769788992	0.15477884728262908	76.92449108308784	0.019532834496819525	17.334395589725784	0.9495098587405801
CFL2	5	0.0024132058571408013	-0.09122380253873921	0.09605021425302082	28.1406512194204	0.003090467825786574	5.566429515265831	0.9597136133193038
