geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
5S_rRNA,0.0,,,,,
5_8S_rRNA,0.0,,,,,
7SK,0.53391219681397,-0.5273317969380882,2.158541753246271,-0.24430002159792558,0.8069984667490309,
A1BG,144.2171959831636,0.3487382544575207,0.15207738945710683,2.2931630777097323,0.02183861796918779,0.06395461548939925
A1BG-AS1,126.03432599337131,0.35658341127623333,0.15820197518640375,2.2539757222125942,0.024197695333849596,0.0692370237341405
A1CF,0.5056088020682078,2.081820028255061,3.5293921433158437,0.5898522872267753,0.5552896843646129,
A2M,21.617614231220415,0.7634184132530487,0.33595390063976777,2.272390383916503,0.0230629420013414,0.06675877806241994
A2M-AS1,1.8247187646238758,-0.6241397067362741,1.1998425574146294,-0.5201846716298713,0.6029348679139315,
A2ML1,0.0,,,,,
A2ML1-AS1,0.0,,,,,
A2ML1-AS2,0.0,,,,,
A2MP1,0.5871855560579461,-3.2333323950404975,2.385052375380424,-1.3556651536949036,0.17520573136429096,
A3GALT2,0.0,,,,,
A4GALT,2.179625086076747,1.6161925206766075,1.1990066555461676,1.3479429102421492,0.1776767452765745,
A4GNT,0.0,,,,,
AA06,0.0,,,,,
AAAS,1367.2434782810624,-0.17036521136586064,0.0773784711575465,-2.20171332952532,0.027685564562397083,0.07686085061837591
AACS,422.39791041076256,-0.2538398813255553,0.09550382033250819,-2.657902903169536,0.00786285428029577,0.02817564019635249
AACSP1,2.7228517037129327,0.5423940020971358,0.9038951703200089,0.6000629496727041,0.5484642835330606,
AADAC,0.0,,,,,
AADACL2,0.0,,,,,
AADACL2-AS1,0.0,,,,,
AADACL3,0.0,,,,,
AADACL4,0.0,,,,,
AADACP1,0.0,,,,,
AADAT,502.6973196097031,-0.415351955665432,0.1486936058490558,-2.79334106731577,0.0052166656755429155,0.02001596654753461
AAED1,240.066912520776,-0.07438732472280148,0.10455191893098233,-0.7114869385793544,0.47678254188208835,0.6312945865228355
AAGAB,2944.025381840783,-0.0022802347354449223,0.1026912888874031,-0.02220475329650511,0.9822846259442625,0.9897785308223204
AAK1,1083.426469776516,0.33693769834408266,0.12452769297436939,2.705725050358333,0.00681554497216317,0.024988868687377392
AAMDC,420.79525728265537,-0.1795372169435086,0.20197825849453865,-0.8888937763980332,0.37406017053020235,0.5369492296636064
