gene	dataset	contrast	log2FC	lfcSE	padj	n_samples
LIMK2	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	-0.2100328223638587	0.14440761258304438	0.3668236937966187	15
LIMK1	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	-0.14343298592338874	0.12347913353727018	0.4913317473829037	15
ROCK1	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	0.04608946591367249	0.09665806506558648	0.8080931514680806	15
ROCK2	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	-0.07935236938671782	0.13849719667423255	0.7650193285071913	15
CFL1	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	0.07686680066669424	0.14863071556806215	0.7893528202476405	15
CFL2	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	0.14159053354514342	0.1313284826189454	0.5295388368590584	15
PFN1	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	0.5512675224244334	0.20413952825368478	0.06298629357975043	15
PFN2	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	0.032952942799977264	0.08198702476123898	0.84234982221104	15
TP53	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	-0.4818203264261168	0.4261604844209493	0.5059537227575831	15
PERP	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	-0.20919788529727668	0.4660804700241634	0.8209172104009234	15
SMN1	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL				15
SMN2	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL				15
MAPT	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	-1.0334920920452966	0.2884535346068023	0.010472026877678724	15
NEFL	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	-0.7583878582717378	0.24339213521415173	0.028205476455857352	15
NEFH	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	0.10213718853411856	0.17058494011697636	0.7532086422872415	15
CHAT	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	0.29488001866595065	0.4650390134759506	0.7367592998470491	15
MNX1	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	0.8924038123169011	0.655518796683829	0.40427885953322934	15
ISL1	GSE290979 (SMA organoid bulk, NT only)	genotype: SMA vs CTRL	1.3413714825273042	0.6712156751762428	0.18684660734754654	15
LIMK2	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.406540081919948	0.0566713434252546	2.3536673823363498e-12	6
LIMK1	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	0.0265699097101577	0.0366626684950682	0.602943014764599	6
ROCK1	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	0.0196484630859855	0.102962029149505	0.899119609135339	6
ROCK2	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.161128860887398	0.0533255266855116	0.0060400739869579	6
CFL1	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.202081412494255	0.0373033333028753	2.71248558722424e-07	6
CFL2	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	0.0345930731963412	0.0510242184665394	0.626979003270755	6
PFN1	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.0013284340234333	0.0487964523464867	0.986293934460484	6
PFN2	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	0.283369723649119	0.0334365569264717	1.7025814693031899e-16	6
TP53	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	0.496048068582987	0.0998604613140793	9.41425962113232e-07	6
PERP	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.243456678451041	0.0780325534862253	0.0035167084242893	6
SMN1	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-2.60548816951357	0.175649552397182	2.11252619678945e-49	6
SMN2	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-3.02453820541064	0.20789722969163	2.3308754048580303e-47	6
MAPT	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.407132999851932	0.0316451485138471	7.3334553613337705e-37	6
NEFL	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.117234740450176	0.0348492417812002	0.0028402452235086	6
NEFH	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.524164544127171	0.0620514296881052	9.63212104772022e-17	6
CHAT	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-1.091614300328	0.107699019726146	5.79742887183541e-24	6
MNX1	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	-0.455004890954336	0.161199107503917	0.0036142674627509	6
ISL1	GSE302774 (Hb9-iMN)	SMN-KD vs Scramble	0.243283448006198	0.0725727738109205	0.0016905968716003	6
LIMK2	GSE302774 (iN)	SMN-KD vs Scramble	-1.14145388143188	0.0674439463672416	1.44144242212192e-63	6
LIMK1	GSE302774 (iN)	SMN-KD vs Scramble	-0.0438313404347197	0.0377123766292087	0.325053853832784	6
ROCK1	GSE302774 (iN)	SMN-KD vs Scramble	0.0534057280414852	0.0469270553986241	0.351405110831494	6
ROCK2	GSE302774 (iN)	SMN-KD vs Scramble	-0.335788527122784	0.0498855105482857	6.253597110667809e-11	6
CFL1	GSE302774 (iN)	SMN-KD vs Scramble	-0.301243081578791	0.0266593953737312	1.03368475544154e-28	6
CFL2	GSE302774 (iN)	SMN-KD vs Scramble	0.0076292572856071	0.0564276047045879	0.927315941598541	6
PFN1	GSE302774 (iN)	SMN-KD vs Scramble	-0.178703408606047	0.0477293310936868	0.0004287133007044	6
PFN2	GSE302774 (iN)	SMN-KD vs Scramble	0.361628669412638	0.0382800424801139	2.0498883593382702e-20	6
TP53	GSE302774 (iN)	SMN-KD vs Scramble	0.15322507338062	0.0756296329827212	0.0717226220341699	6
PERP	GSE302774 (iN)	SMN-KD vs Scramble	-0.743019806544416	0.082544439500566	6.46264661722371e-19	6
SMN1	GSE302774 (iN)	SMN-KD vs Scramble	-2.58387074126583	0.321470882718842	3.52794278872609e-16	6
SMN2	GSE302774 (iN)	SMN-KD vs Scramble	-3.49813432053472	0.248285472638198	5.4503390682021405e-45	6
MAPT	GSE302774 (iN)	SMN-KD vs Scramble	-0.254131614601016	0.0252359728577647	5.0061262839462905e-23	6
NEFL	GSE302774 (iN)	SMN-KD vs Scramble	-0.662171085986835	0.0272352002387367	3.0474130642448897e-129	6
NEFH	GSE302774 (iN)	SMN-KD vs Scramble	0.116813096247537	0.0797897850287581	0.212409885599333	6
CHAT	GSE302774 (iN)	SMN-KD vs Scramble	-2.99884788396689	0.128345316145904	4.0031880317515e-120	6
MNX1	GSE302774 (iN)	SMN-KD vs Scramble	-0.346921472577386	0.0593671069943744	1.5636448141695e-08	6
ISL1	GSE302774 (iN)	SMN-KD vs Scramble	-0.171138927402029	0.0435671781854144	0.0002098878304654	6
LIMK2	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.31780891620171725	0.12495504157507095	0.13342556831798744	7
LIMK1	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.32152030070103954	0.13033085224231067	0.1493206610314115	7
ROCK1	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	-0.3635997465280975	0.14446872254934312	0.13837992851595154	7
ROCK2	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	-0.3420838150917836	0.2945696977106578	0.5754234021652863	7
CFL1	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.1695868641373641	0.09898465736301416	0.36682280559407876	7
CFL2	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	-0.1402230596743411	0.2013267320227286	0.7556228962232868	7
PFN1	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.03498717313127589	0.11675059406050092	0.9079367443449677	7
PFN2	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	-0.14811063615045392	0.04093067679023597	0.019522276523944143	7
TP53	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.04612020853112526	0.18851061180622664	0.9265769955150783	7
PERP	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.21039135203359735	0.14276030624516392	0.4512921823502659	7
SMN1	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	-1.1389989085233885	0.17098668538896938	3.648146473706918e-08	7
SMN2	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	-3.1158162144527877	0.6330830065781214		7
MAPT	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.5237407387503558	0.17470064130901267	0.06830502540477768	7
NEFL	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.33237515860347383	0.15677793227954656	0.23509662094809697	7
NEFH	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.39192667170178763	0.19852475926432858	0.27995018530609805	7
CHAT	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.3354367789243181	0.23706853217543272	0.47256243148822824	7
MNX1	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.4625767301268119	0.204051229837669	0.19497086877770264	7
ISL1	GSE87281 (hiPSC-MN)	condition: shSMN vs shCtrl	0.33254289243930896	0.17102522048593172	0.28930217920311435	7
LIMK2	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	0.4450368702396382	0.08672926011340908	3.7716042148866494e-06	9
LIMK1	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	0.1235113395611462	0.08777158768508517	0.2913187935165416	9
ROCK1	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	-0.22476246759910654	0.08902292184962693	0.038557524407022016	9
ROCK2	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	-0.4509328056526561	0.1552788673318591	0.015005018414605466	9
CFL1	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	-0.08494015099689774	0.10795700948298768	0.5910013801818688	9
CFL2	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	-0.32145634037780185	0.1706299197660175	0.1386228220724321	9
PFN1	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	-0.029778510555698717	0.10416661208706254	0.862641684821888	9
PFN2	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	-0.4361317347145235	0.08392304485588947	2.752977149257086e-06	9
TP53	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	0.5041190998169981	0.13928815157569546	0.0017536314016819957	9
PERP	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	1.3687103345483218	3.8675127762522576		9
SMN1	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	-2.2512359608150443	0.16107568001715802	1.2818596251121334e-41	9
SMN2	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	-2.0309429693884917	0.19198671810800333	4.7408640870765065e-24	9
MAPT	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	0.08316149757475126	0.08508527284555528	0.4907184549798298	9
NEFL	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	0.33737213162099927	0.1490407697368676	0.06796310259775251	9
NEFH	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	0.0736380182588167	0.21955109126802883	0.8370076872071524	9
CHAT	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl	1.1206842346715158	1.0332822121339842		9
MNX1	GSE87281 (SH-SY5Y)	condition: shSMN vs shCtrl				9
