data_id,db,task,key,smiles,tag,filename,i_repeat,cfd_traj,cfd_pos,cfd_node,cfd_edge
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,,bad,0-bad.sdf,0,1.3487610816955566,2.608845,9.885828,18.417892
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,,bad,1-bad.sdf,0,1.391565442085266,2.559292,10.327419,18.18699
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=C(Oc1cc(=O)n(Cc2ccccc2)c2ccc(O)cc12)c1ccccc1O,,2.sdf,0,1.4133923053741455,2.6028807,10.41104,18.168541
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Nc1nc2ccc(N3CC(COP(=O)(O)O)C(Cc4cc[nH+]c(O)c4O)C3)cc2[nH]1,,3.sdf,0,1.2925184965133667,2.6656184,10.2759495,18.345707
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Cc1ccc(C(=O)c2ccccc2C#N)c(Oc2cc(-c3ccco3)nc(N)n2)c1,,4.sdf,0,1.3592184782028198,2.4523768,9.613812,18.246317
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=C1CC2OC(=O)C3=Cc4cccc5cc(-c6ccccc6)cc(c45)C(O1)C32,,5.sdf,0,1.3656911849975586,2.5673804,10.163342,17.967222
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,,bad,6-bad.sdf,0,1.503263235092163,2.6841924,10.887038,18.133768
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=C1NC(O)c2cc3cc(O)ccc3cc2NC1c1ccc(O)cc1,,7.sdf,0,1.4909892082214355,2.6046023,11.059851,17.756075
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Cc1ccc2ncc(Cc3ccncc3)c-2cc1.Cc1nccc(-c2ccc(F)cc2)n1,incomp,8-incomp.sdf,0,1.3819220066070557,2.7390866,10.532343,19.253777
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Cc1nc2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c(=O)n(C)c2nc1C,,9.sdf,0,1.4994783401489258,2.8350909,11.616706,18.44391
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=C(O)c1cccc(C(C(=O)c2ccc([N+](=O)O)nc2)c2ccccc2)c1,,10.sdf,0,1.4461666345596311,2.6809964,10.947365,18.7929
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,COc1ccccc1-c1nnn[nH]1.c1ccc(-c2cccc3c[nH+]ccc23)cc1,incomp,11-incomp.sdf,0,1.4613394737243652,2.7579966,10.229022,18.802395
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Cc1onc(Nc2cccc(F)c2)c1C(=O)N(C)C(=O)Nc1ccc(O)cc1,,12.sdf,0,1.366429090499878,2.5880558,10.640687,18.535015
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=C(O)CCCC(C(O)O)C(c1ccc(F)cc1)c1ccc2c(c1)C=CC=CN2,,13.sdf,0,1.3671571016311646,2.793671,11.06025,18.76956
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=S(=O)(c1ccccc1)c1nc2cc[s+]c-2n(CO)c1C(O)Nc1ccccc1,,14.sdf,0,1.3138498067855835,2.4869995,10.49662,18.177668
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=c1oc2ccccc2c2cc(Oc3ccc(O)cc3)c3ccccc3c12,,15.sdf,0,1.5182621479034424,2.7707975,11.264686,18.059723
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Oc1ccc(-c2cnc(-c3ccccc3)nc2-c2cccnc2)cc1,,16.sdf,0,1.5264049768447876,2.8767061,11.029488,18.703663
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=C(O)c1cc2c(=O)ccnc-2ccc1-c1cccc(O)c1.c1cnccn1,incomp,17-incomp.sdf,0,1.3327282667160034,2.6622148,10.193994,18.575613
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Nc1ncnc(NC2C(O)OC(COP(=O)(O)O)C3OC23)c2ncnc1-2,,18.sdf,0,1.168857216835022,2.3135922,10.626367,17.529285
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,C1=C2OC(=[NH+]c3ccccc32)c2ccccc2Nc2ccccc2-c2n[nH]nc21,,19.sdf,0,1.4023277759552002,2.648461,9.960381,18.301222
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Cc1ccc(CCNC(=O)c2c[nH]c(C(=O)O)cc2=O)c2ccccc12,,20.sdf,0,1.393791675567627,2.5240555,9.487655,18.23485
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Nc1cccc(Oc2ccc3c(c2)-c2oc(=O)c4ccccc4c2COC3=O)c1,,21.sdf,0,1.4144587516784668,2.5603807,10.393219,18.024809
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,O=C1OC2C(O)C(O)C(O)C2OP(=O)(O)OP(=O)(O)O1.O=c1nc[nH]c2cncnc12,incomp,22-incomp.sdf,0,1.175441861152649,2.432625,10.755867,18.448135
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,COc1c(C(=O)N2Cc3ccccc3C(C)(C(=O)O)C2=O)ccc2occc12,,23.sdf,0,1.3222955465316772,2.443852,10.550024,17.836449
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,N#Cc1ccc(-c2ccc3c(ccc(=O)n3-c3ccccc3-c3ccco3)c2)cc1,,24.sdf,0,1.4315708875656128,2.6637275,10.5138235,18.343391
pocketxmol_ep400_sma_atlas_ext,use,sbdd,,Nn1ncn2c3ccccc3nc12.Oc1ccccc1-c1ccccc1,incomp,25-incomp.sdf,0,1.3535760641098022,2.776746,11.165061,18.514313
