data_id,db,task,key,smiles,tag,filename,i_repeat,cfd_traj,cfd_pos,cfd_node,cfd_edge
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1[nH]c2cc(O)ccc2c1-c1ccc(C(=O)c2c[nH+]c3ccccc3c2)o1,,0.sdf,0,1.439831256866455,2.7037084,10.456774,17.976404
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1cccc2ncc(C3=C4N=NN=C4C(=O)N=C3CCc3ccccc3)nc12,,1.sdf,0,1.4204732179641724,2.6800392,9.735719,18.09753
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Nc1ncnc2c1ncn2C1CC(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)O1,,2.sdf,0,1.2968108654022217,2.5798807,11.028999,18.18935
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=c1ccc2ccc(-c3nnc(OP(=O)(O)O)c4ccccc34)ccc-2n1,,3.sdf,0,1.4233371019363403,2.6986055,11.3562355,17.628397
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,,bad,4-bad.sdf,0,1.2913578748703003,2.4483593,10.137802,17.25221
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=Cc1ccnc2c1Oc1nc3ccccc3cc1C=C2c1ccccc1,,5.sdf,0,1.4835028648376465,2.7391074,10.494624,17.757637
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,,bad,6-bad.sdf,0,1.3135055303573608,2.4353607,10.408902,17.069548
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=P(O)(O)c1cc(-c2nc3ccccc3cc2-c2cccnc2)nc2ccccc12,,7.sdf,0,1.4699721336364746,2.7806342,11.169457,18.004261
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Nc1ncnc2c1ncn2C1CCC(O)C(OP(=O)(O)OP(=O)(O)O)O1,,8.sdf,0,1.2163798809051514,2.3480225,11.132226,17.248642
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,CNc1ncnc2c1ncn2CC(OP(=O)(O)OP(=O)(O)O)c1ccccc1,,9.sdf,0,1.300391435623169,2.6735127,11.37387,18.167871
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1ccc2ncc3c(C(=CO)C(=O)O)cc(Cc4ccccc4)cc3c2c1,,10.sdf,0,1.428900957107544,2.6237938,9.984313,17.916672
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=P(O)(O)CN(CCOc1cccc2ccccc12)COP(=O)(O)O,,11.sdf,0,1.2252367734909058,2.4122531,10.431798,17.514532
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,OC1=C(NN=Cc2ccccc2)c2cc3cc(O)ccc3c3cccc(c23)N1,,12.sdf,0,1.4316586256027222,2.6711483,10.071855,17.405092
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(NC(Cc1ccccc1)c1nncn1CP(=O)(O)O)c1ccccc1,,13.sdf,0,1.3013309240341189,2.6497145,10.78723,18.52706
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(O)CCc1cccc2c1OC(c1ccc(O)cc1)=c1ccccc1=C2O,,14.sdf,0,1.3185728788375854,2.6512222,10.770022,18.06912
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,CSc1nc(O)c(Cc2cc3ccccc3c3ccccc23)c(CC(=O)O)n1,,15.sdf,0,1.4099639654159546,2.6873157,11.552976,18.136309
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Nc1nnc2n(C3CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O3)ncnc1-2,,16.sdf,0,1.2497889995574951,2.5236528,10.4513,17.745537
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1ccc2c(-c3cc(-c4ccccc4)c(C(=O)O)cc3CC(=O)O)ccnc2c1,,17.sdf,0,1.3768246173858645,2.7024395,10.213507,18.21158
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,c1cc2c3c(cccc3c1)-c1c-2c2ccccc2c2nc3ccccc3nc12,,18.sdf,0,1.536044955253601,2.7795315,10.634443,17.58671
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Nc1nnc2n(C3CC(O)C(CCO[PH](O)(O)O[PH](O)(O)O)O3)cncc1-2,,19.sdf,0,1.2320237159729004,2.4572656,10.191689,17.62697
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1ccc(Nc2nn(-c3ccc(C)nc3)c3nc4ccccc4cc23)cn1,,20.sdf,0,1.4643346071243286,2.7350838,10.627472,17.936045
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(CCc1ccccc1O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,,21.sdf,0,1.4153814315795898,2.7629685,10.931738,19.032299
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,,bad,22-bad.sdf,0,1.2490630149841309,2.5466807,10.083467,17.797997
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1nc2c(=O)nn[nH]c2n1Cc1cccc(-c2ccc3c(ccn3C)c2)c1,,23.sdf,0,1.359747052192688,2.7167876,10.709317,17.89692
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,CC(CP(=O)(O)O)=NC(Cc1ccccc1)c1cccc2ccccc12,,24.sdf,0,1.3240995407104492,2.653353,11.318559,17.932592
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1c[nH+]cc(C(=O)NC2=c3ccc(C)cc3=Nc3ccccc3N2)c1,,25.sdf,0,1.4037739038467407,2.5150642,9.5325,17.582853
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=P(O)(O)Oc1c[nH+]ccc1-c1ccc2c(c1)NC=NC=N2,,26.sdf,0,1.363577365875244,2.6115453,10.756109,16.771206
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=c1nc2ccc3cccc(F)c3c2cn1CCn1cnc(P(=O)(O)O)c1,,27.sdf,0,1.360221266746521,2.6289809,11.087508,17.612333
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Nc1ncnc2c1ncn2C1CC(O)C(CC(O)OP(=O)(O)OP(=O)(O)O)O1,,28.sdf,0,1.3192992210388184,2.5695593,11.0035305,17.925903
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(NCC1=C2C=CC=CC=C2NC=C1c1ccccc1)c1ccc[nH+]n1,,29.sdf,0,1.3695578575134275,2.5982862,10.865208,17.899736
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C1N=CC(=Cc2ccccc2-c2ccccc2)C(c2c[nH]cn2)N1,,30.sdf,0,1.2737289667129517,2.6287293,10.458615,18.33489
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(O)c1nc(-c2ccccc2Oc2ccc3ccccc3c2)oc1O,,31.sdf,0,1.435256004333496,2.7000797,11.187104,17.863955
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,,bad,32-bad.sdf,0,1.2858171463012695,2.6530867,11.163379,18.595299
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(O)c1c(-c2ccccc2)nn2c(-c3ccc4ccccc4c3)nc(=O)[nH]c12,,33.sdf,0,1.4032881259918213,2.6727643,10.906953,17.828793
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1cc2c3c(c4ccccc4n13)NC(NC(=O)c1cnc[nH+]c1)=CC=2c1ccccc1,,34.sdf,0,1.368502140045166,2.6585972,10.202637,18.010683
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(O)C(=Cc1ccc(Cl)cc1)N=NC(Cc1ccccc1)c1ccccc1,,35.sdf,0,1.3126707077026367,2.7186663,11.294668,18.803545
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,,bad,36-bad.sdf,0,1.3705854415893557,2.6336813,11.167664,17.849752
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1ccc(C2=NC(C(=O)Nc3ccc(F)cc3)=Cc3ccccc3N2)cn1,,37.sdf,0,1.3715996742248535,2.576779,10.347253,18.3096
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,,bad,38-bad.sdf,0,1.3798500299453735,2.7374873,11.39634,18.047575
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1cc2c(Nc3ccccc3S(N)(=O)=O)nc3c(=N)nccc3c2nc(C)n1,,39.sdf,0,1.337790846824646,2.6230614,9.791608,17.788218
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,CC(Oc1c(NC(=O)c2cccc(O)c2)ccc([N+](=O)O)c1O)C(=O)c1ccccc1,,40.sdf,0,1.3539490699768066,2.6275015,10.607355,18.536415
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C1C(NS(=O)(=O)c2cccc(F)c2)CC=CN1Cc1cccc2[nH]cnc12,,41.sdf,0,1.3049578666687012,2.5433013,10.591989,18.338112
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,CC(C)(C)c1ccc(C2=C[N+](Cc3ccccc3F)=C3N=C(C(=O)O)C(O)=C23)cc1,,42.sdf,0,1.3680403232574463,2.6817663,10.942993,18.488548
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=c1c2ccc(F)cc2c2cc3c(ccc4nonc43)cc2n1CP(=O)(O)O,,43.sdf,0,1.434664964675903,2.7440643,11.2414255,17.57363
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,COc1ccccc1OCc1ccc(-c2ccc(C)cc2)nc1NOP(=O)(O)O,,44.sdf,0,1.405348539352417,2.6722815,10.064588,18.478218
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(O)C1=CC(C(=O)O)=c2oc3cc(O)ccc3c2=C(c2ccc(O)cc2)N1,,45.sdf,0,1.4053786993026731,2.6494484,11.308974,18.09493
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Nc1cccc(-c2cnc3c(O)cccc3c2)c1.O=C(O)c1ccc(O)cc1,incomp,46-incomp.sdf,0,1.4102343320846558,2.7624679,10.837745,18.510273
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1nc2[n+]3c(c(-c4ccc(F)cc4)cc4c5ncoc5ccc43)c(=O)[n+]=2c1=O,,47.sdf,0,1.355504870414734,2.5379796,9.846696,17.45239
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,CCc1[nH+]c2ccc(CC(CP(=O)(O)O)c3ccc4c(c3)N=CNC=N4)cc2o1,,48.sdf,0,1.342980980873108,2.6774108,10.581899,17.98057
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cn1c(=O)c2c3ccccc3c3nc4ccccc4nc3c2c2ccccc21,,49.sdf,0,1.5131049156188965,2.8465526,11.455077,17.797297
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,CC(NC(=O)c1ccc(C(=O)O)cc1)C(=O)Nc1cc(-c2ccccc2)ccn1,,50.sdf,0,1.4239236116409302,2.7419323921203613,11.41693115234375,18.85266494750977
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,C1=Nc2ccc3c4c(ccc1c24)-n1c(cc2nccnc21)OC3c1ccccc1,,51.sdf,0,1.3193234205245972,2.522722244262696,9.071078300476074,17.602867126464844
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Cc1cccc(Cc2c(O)ncc3ccc(-c4ccc(O)c(O)c4)nc23)n1,,52.sdf,0,1.3424209356307983,2.682032823562622,10.119733810424805,18.03075218200684
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,Nc1ncnc2c1ncn2C1CC2(COP(=O)(O)O)OC1C(O[PH](O)(O)O)C2O,,53.sdf,0,1.2784268856048584,2.531400918960572,11.806878089904783,18.154172897338867
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,COC(C)C(Cc1cc[nH+]c2ccccc12)NC(=O)C1=C(O)NC=C(C(=O)O)C=C1,,54.sdf,0,1.3179703950881958,2.5539803504943848,10.726190567016602,18.011032104492188
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,CC1=C2C(=C(C=CP(=O)(O)O)Nc3nc(C)[nH]c(=O)c32)c2ccc(C)cc2O1,,55.sdf,0,1.404873609542847,2.681739568710327,10.807257652282717,17.81551170349121
pocketxmol_kat5_sma_atlas_ext,use,sbdd,,O=C(O)C(CO)CCc1nc2ccccc2c2ccc(-c3ccccc3)cc12,,56.sdf,0,1.4586944580078125,2.8361077308654785,11.770827293395996,18.387022018432617
