Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	druggable_class
ENSG00000197971	MBP	P02686	89103.1	7549.7	132.0	22.5	Myelin basic protein	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000131095	GFAP	P14136	15929.3	2345.3	1.9	7.6	Glial fibrillary acidic protein	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000205542	TMSB4X	P62328	10458.9	3001.2	802.8	2594.9	Thymosin beta 4 X-linked	Plasma proteins, Predicted intracellular proteins	True
ENSG00000123560	PLP1	P60201	10196.4	1778.9	2.2	28.7	Proteolipid protein 1	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	True
ENSG00000167996	FTH1	P02794	9247.4	6055.1	4386.3	4465.5	Ferritin heavy chain 1	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000087086	FTL	P02792	6360.1	3223.5	1308.5	2480.8	Ferritin light chain	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000160307	S100B	P04271	4757.1	615.5	2.6	21.4	S100 calcium binding protein B	Cancer-related genes, Candidate cardiovascular disease genes, Predicted intracellular proteins, Predicted secreted proteins, Transporters	True
ENSG00000109846	CRYAB	P02511	4674.3	1023.6	7429.7	10537.6	Crystallin alpha B	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000156508	EEF1A1	P68104	3982.3	1954.2	1563.8	3836.2	Eukaryotic translation elongation factor 1 alpha 1	Cancer-related genes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000120885	CLU	P10909	3839.4	6578.2	110.0	588.2	Clusterin	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000107317	PTGDS	P41222	3337.6	2180.1	101.5	4605.2	Prostaglandin D2 synthase	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000133112	TPT1	P13693	3313.7	1532.0	21778.2	4250.7	Tumor protein, translationally-controlled 1	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000177954	RPS27	P42677	3198.9	2115.7	4810.1	3392.0	Ribosomal protein S27	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000111640	GAPDH	P04406	2757.7	2988.7	25843.3	5080.5	Glyceraldehyde-3-phosphate dehydrogenase	Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000167552	TUBA1A	Q71U36	2689.9	807.4	35.1	168.9	Tubulin alpha 1a	Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters	True
ENSG00000075624	ACTB	P60709	2608.5	1796.2	518.3	1326.2	Actin beta	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000112306	RPS12	P25398	2330.5	1246.8	2362.2	1806.2	Ribosomal protein S12	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000071082	RPL31	P62899	2162.1	2269.7	2534.2	1905.7	Ribosomal protein L31	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000231500	RPS18	P62269	2087.4	1557.4	3292.4	2023.1	Ribosomal protein S18	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000142534	RPS11	P62280	2038.7	1505.6	3319.6	1905.4	Ribosomal protein S11	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000138326	RPS24	P62847	2030.6	1531.4	3587.2	1837.2	Ribosomal protein S24	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000156482	RPL30	P62888	1981.9	970.2	3067.8	1642.3	Ribosomal protein L30	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000162734	PEA15	Q15121	1945.8	776.2	60.6	234.6	Proliferation and apoptosis adaptor protein 15	Plasma proteins, Predicted intracellular proteins	True
ENSG00000008988	RPS20	P60866	1904.2	1140.2	2557.6	1938.2	Ribosomal protein S20	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000118785	SPP1	P10451	1840.1	427.2	15.3	34.6	Secreted phosphoprotein 1	Cancer-related genes, Plasma proteins, Predicted secreted proteins	True
ENSG00000147403	RPL10	P27635	1815.8	1009.1	4611.4	2678.0	Ribosomal protein L10	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000166710	B2M	P61769	1715.6	1088.5	952.8	2179.2	Beta-2-microglobulin	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	True
ENSG00000108298	RPL19	P84098	1702.9	929.7	2657.7	1462.9	Ribosomal protein L19	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000100097	LGALS1	P09382	1620.6	491.1	1201.0	1492.7	Galectin 1	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000189058	APOD	P05090	1607.8	374.6	1489.7	1303.8	Apolipoprotein D	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	True
ENSG00000177600	RPLP2	P05387	1567.8	959.1	2796.8	1642.2	Ribosomal protein lateral stalk subunit P2	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
