Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class
ENSG00000197971	MBP	P02686	89103.1	7549.7	132.0	22.5	Myelin basic protein	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000228253	MT-ATP8	P03928	76212.0	113576.7	180164.3	355486.2	Mitochondrially encoded ATP synthase membrane subunit 8	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198712	MT-CO2	P00403	75672.8	98678.1	87390.8	214510.8	Mitochondrially encoded cytochrome c oxidase II	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198899	MT-ATP6	P00846	60430.5	82251.6	103809.1	240225.6	Mitochondrially encoded ATP synthase membrane subunit 6	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198804	MT-CO1	P00395	58094.5	109369.7	137864.4	265338.6	Mitochondrially encoded cytochrome c oxidase I	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198938	MT-CO3	P00414	56248.4	100233.1	92143.1	238539.3	Mitochondrially encoded cytochrome c oxidase III	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198763	MT-ND2	P03891	55567.6	56810.7	43393.0	130852.9	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000198886	MT-ND4	P03905	52893.4	67168.1	57578.2	197808.9	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000198840	MT-ND3	P03897	51132.9	56342.9	65980.3	186829.7	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000198888	MT-ND1	P03886	41917.4	55410.0	64874.2	129323.4	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins
ENSG00000212907	MT-ND4L	P03901	39022.1	44943.4	55361.6	149995.1	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000198727	MT-CYB	P00156	28982.8	36112.8	49294.1	131222.4	Mitochondrially encoded cytochrome b	Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins
ENSG00000131095	GFAP	P14136	15929.3	2345.3	1.9	7.6	Glial fibrillary acidic protein	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000205542	TMSB4X	P62328	10458.9	3001.2	802.8	2594.9	Thymosin beta 4 X-linked	Plasma proteins, Predicted intracellular proteins
ENSG00000123560	PLP1	P60201	10196.4	1778.9	2.2	28.7	Proteolipid protein 1	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198695	MT-ND6	P03923	9693.8	14284.6	54270.6	33513.0	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000167996	FTH1	P02794	9247.4	6055.1	4386.3	4465.5	Ferritin heavy chain 1	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000198786	MT-ND5	P03915	9108.7	10656.8	24072.9	26164.9	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000087086	FTL	P02792	6360.1	3223.5	1308.5	2480.8	Ferritin light chain	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000160307	S100B	P04271	4757.1	615.5	2.6	21.4	S100 calcium binding protein B	Cancer-related genes, Candidate cardiovascular disease genes, Predicted intracellular proteins, Predicted secreted proteins, Transporters
ENSG00000109846	CRYAB	P02511	4674.3	1023.6	7429.7	10537.6	Crystallin alpha B	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters
ENSG00000156508	EEF1A1	P68104	3982.3	1954.2	1563.8	3836.2	Eukaryotic translation elongation factor 1 alpha 1	Cancer-related genes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000120885	CLU	P10909	3839.4	6578.2	110.0	588.2	Clusterin	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000107317	PTGDS	P41222	3337.6	2180.1	101.5	4605.2	Prostaglandin D2 synthase	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000133112	TPT1	P13693	3313.7	1532.0	21778.2	4250.7	Tumor protein, translationally-controlled 1	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000177954	RPS27	P42677	3198.9	2115.7	4810.1	3392.0	Ribosomal protein S27	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000111640	GAPDH	P04406	2757.7	2988.7	25843.3	5080.5	Glyceraldehyde-3-phosphate dehydrogenase	Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000197756	RPL37A	P61513	2753.6	2102.7	5061.0	2554.4	Ribosomal protein L37a	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000021300	PLEKHB1	Q9UF11	2714.0	590.4	8.8	13.9	Pleckstrin homology domain containing B1	Predicted intracellular proteins
ENSG00000167552	TUBA1A	Q71U36	2689.9	807.4	35.1	168.9	Tubulin alpha 1a	Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters
ENSG00000075624	ACTB	P60709	2608.5	1796.2	518.3	1326.2	Actin beta	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000087250	MT3	P25713	2335.8	5762.5	6.2	17.8	Metallothionein 3	Predicted intracellular proteins
ENSG00000112306	RPS12	P25398	2330.5	1246.8	2362.2	1806.2	Ribosomal protein S12	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000122026	RPL21	P46778	2240.4	1497.5	2821.2	1941.5	Ribosomal protein L21	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000071082	RPL31	P62899	2162.1	2269.7	2534.2	1905.7	Ribosomal protein L31	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000213741	RPS29	P62273	2135.1	1451.5	3553.9	2067.5	Ribosomal protein S29	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000231500	RPS18	P62269	2087.4	1557.4	3292.4	2023.1	Ribosomal protein S18	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000142534	RPS11	P62280	2038.7	1505.6	3319.6	1905.4	Ribosomal protein S11	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000138326	RPS24	P62847	2030.6	1531.4	3587.2	1837.2	Ribosomal protein S24	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000156482	RPL30	P62888	1981.9	970.2	3067.8	1642.3	Ribosomal protein L30	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000229117	RPL41	P62945	1949.0	2275.2	5752.2	2937.5	Ribosomal protein L41	Predicted intracellular proteins, Ribosomal proteins
ENSG00000162734	PEA15	Q15121	1945.8	776.2	60.6	234.6	Proliferation and apoptosis adaptor protein 15	Plasma proteins, Predicted intracellular proteins
ENSG00000172809	RPL38	P63173	1906.5	1384.2	2771.7	1404.5	Ribosomal protein L38	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000008988	RPS20	P60866	1904.2	1140.2	2557.6	1938.2	Ribosomal protein S20	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000180354	MTURN	Q8N3F0	1847.2	485.0	34.6	23.4	Maturin, neural progenitor differentiation regulator homolog	Predicted intracellular proteins
ENSG00000161970	RPL26	P61254	1840.7	1310.4	2534.2	1666.4	Ribosomal protein L26	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000118785	SPP1	P10451	1840.1	427.2	15.3	34.6	Secreted phosphoprotein 1	Cancer-related genes, Plasma proteins, Predicted secreted proteins
ENSG00000118181	RPS25	P62851	1834.4	1200.1	3801.1	1752.1	Ribosomal protein S25	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000137154	RPS6	P62753	1829.7	879.6	1681.5	1354.9	Ribosomal protein S6	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000147403	RPL10	P27635	1815.8	1009.1	4611.4	2678.0	Ribosomal protein L10	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000170315	UBB	P0CG47	1813.5	1607.0	2491.5	1562.7	Ubiquitin B	Predicted intracellular proteins
ENSG00000166710	B2M	P61769	1715.6	1088.5	952.8	2179.2	Beta-2-microglobulin	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters
ENSG00000108298	RPL19	P84098	1702.9	929.7	2657.7	1462.9	Ribosomal protein L19	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000100097	LGALS1	P09382	1620.6	491.1	1201.0	1492.7	Galectin 1	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000189058	APOD	P05090	1607.8	374.6	1489.7	1303.8	Apolipoprotein D	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins
ENSG00000177600	RPLP2	P05387	1567.8	959.1	2796.8	1642.2	Ribosomal protein lateral stalk subunit P2	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000244274	DBNDD2	Q9BQY9	1567.7	276.1	296.5	441.1	Dysbindin domain containing 2	Predicted intracellular proteins
ENSG00000196262	PPIA	P62937	1560.1	1783.8	561.5	810.3	Peptidylprolyl isomerase A	Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000198918	RPL39	P62891	1517.8	935.7	2911.8	1853.5	Ribosomal protein L39	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000123416	TUBA1B	P68363	1479.9	1799.8	231.7	483.6	Tubulin alpha 1b	Essential proteins, Predicted intracellular proteins
ENSG00000109475	RPL34	P49207	1468.5	1028.2	1254.2	1045.0	Ribosomal protein L34	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000100316	RPL3	P39023	1461.7	1055.0	567.9	1334.5	Ribosomal protein L3	Essential proteins, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000182774	RPS17	P08708	1446.8	882.9	1814.6	1562.1	Ribosomal protein S17	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000125148	MT2A	P02795	1444.7	1433.1	6198.0	1093.4	Metallothionein 2A	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000080822	CLDND1	Q9NY35	1440.2	243.3	42.8	53.9	Claudin domain containing 1	Predicted intracellular proteins, Predicted membrane proteins, Transporters
ENSG00000167526	RPL13	P26373	1417.2	1006.6	2324.5	1598.5	Ribosomal protein L13	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
