# Small-molecule Tanimoto (ECFP4 2048) stats across top-20 per arm
# Rows parsed: LIMK2=20, ROCK2=20, MDM2=20

pair            n_pairs     mean   median      max      p95    >=0.4    >=0.6
LIMK2-LIMK2         380    0.148    0.139    0.342    0.244     0.0%     0.0%
ROCK2-ROCK2         380    0.114    0.112    0.272    0.163     0.0%     0.0%
MDM2-MDM2           380    0.122    0.119    0.235    0.183     0.0%     0.0%
LIMK2-ROCK2         400    0.103    0.099    0.221    0.162     0.0%     0.0%
LIMK2-MDM2          400    0.109    0.104    0.254    0.164     0.0%     0.0%
ROCK2-MDM2          400    0.111    0.109    0.211    0.165     0.0%     0.0%

# Unique Murcko scaffolds per arm
  LIMK2: 20 unique / 20 compounds (20 singletons)
  ROCK2: 20 unique / 20 compounds (20 singletons)
  MDM2: 20 unique / 20 compounds (20 singletons)
