arm,rank,smiles,murcko_scaffold
LIMK2,1,COc1cc(C)ccc1C(C)NCC1=CC=[N+]2C1=Nc1c[n+](Cc3cncc[nH+]3)ccc12,C1=C(CNCc2ccccc2)C2=Nc3c[n+](Cc4cncc[nH+]4)ccc3[N+]2=C1
LIMK2,2,CS(=O)(=O)c1ccccc1-c1cccc(Oc2ccc(C(N)=O)cc2)c1,c1ccc(Oc2cccc(-c3ccccc3)c2)cc1
LIMK2,3,CCc1nc2ccc[nH+]c2cc1OCc1ccc2[nH]cc(C(=O)O)c2c1,c1c[nH+]c2cc(OCc3ccc4[nH]ccc4c3)cnc2c1
LIMK2,4,COc1cc(OC)c(OC)c(C(=O)N2CCN(C(=O)c3ccncc3)CC2)c1,O=C(c1ccccc1)N1CCN(C(=O)c2ccncc2)CC1
LIMK2,5,CC1c2ccccc2CN1C(=O)c1ccc(-n2nccc2C(N)=O)cc1,O=C(c1ccc(-n2cccn2)cc1)N1Cc2ccccc2C1
LIMK2,6,N#Cc1cccc(-c2ccc(NC(=O)c3ccc(O)cc3)nc2)c1,O=C(Nc1ccc(-c2ccccc2)cn1)c1ccccc1
LIMK2,7,Cc1ccc2c(C(=O)c3ccc(Oc4ccc(F)c[nH+]4)[nH+]c3)c[nH]c2c1,O=C(c1ccc(Oc2cccc[nH+]2)[nH+]c1)c1c[nH]c2ccccc12
LIMK2,8,O=C(Nc1ccc2c(c1)Oc1ccccc1N2)c1ccc[nH+]c1,O=C(Nc1ccc2c(c1)Oc1ccccc1N2)c1ccc[nH+]c1
LIMK2,9,COc1ccc(-c2cnc3c(-c4ccccc4)ncnc3n2)cc1C#N,c1ccc(-c2cnc3c(-c4ccccc4)ncnc3n2)cc1
LIMK2,10,O=C(NCc1ccccc1)c1ccc(Cc2cccnc2)nc1,O=C(NCc1ccccc1)c1ccc(Cc2cccnc2)nc1
LIMK2,11,Nc1cccc(NC(=O)c2ccc(C(=O)c3ccncc3)cc2F)c1,O=C(Nc1ccccc1)c1ccc(C(=O)c2ccncc2)cc1
LIMK2,12,C[n+]1ccc(O)c2cc(C(=O)c3ccc(Oc4nccc[nH+]4)cc3)ccc21,O=C(c1ccc(Oc2nccc[nH+]2)cc1)c1ccc2[nH+]cccc2c1
LIMK2,13,CCc1[nH+]c2cc(OC3=Cc4cc(C(N)=O)ccc4C=CN3)ccc2n1CC,C1=Cc2ccccc2C=C(Oc2ccc3[nH]c[nH+]c3c2)N1
LIMK2,14,O=C(O)c1c[nH]c2ccc(-c3cnnc(Cc4ccccc4)c3)cc12,c1ccc(Cc2cc(-c3ccc4[nH]ccc4c3)cnn2)cc1
LIMK2,15,CC(=O)N(CCO)c1ccc(C(=O)c2cc(F)cc(-c3cnccn3)c2)cc1,O=C(c1ccccc1)c1cccc(-c2cnccn2)c1
LIMK2,16,NC(=O)c1ccnn1CCc1ccc(Oc2cccnc2)cc1,c1cncc(Oc2ccc(CCn3cccn3)cc2)c1
LIMK2,17,Cc1ccnc2c(Cc3ccc(OCc4ccc[nH+]c4)[nH+]c3)c[nH]c12,c1c[nH+]cc(COc2ccc(Cc3c[nH]c4cccnc34)c[nH+]2)c1
LIMK2,18,CC1(C)CNN(c2cccc(C(=O)c3ccc(-c4ccccn4)nc3)c2)C1=O,O=C(c1ccc(-c2ccccn2)nc1)c1cccc(N2NCCC2=O)c1
LIMK2,19,Cc1cc(C(=O)O)c(Cc2n[nH]c(Cc3ccccc3)c2C)c[nH+]1,c1ccc(Cc2cc(Cc3ccc[nH+]c3)n[nH]2)cc1
LIMK2,20,CNc1c[n+](C)c(=O)c2ccc(Oc3cccc(-c4cnc[nH]4)c3)ccc1-2,O=c1[nH+]ccc2ccc(Oc3cccc(-c4cnc[nH]4)c3)ccc1-2
ROCK2,1,Clc1ccc2c(n1)NC(NC1CCCc3c(nc4ccncnc3-4)C1)C2,c1cnc2c(c1)CC(NC1CCCc3c(nc4ccncnc3-4)C1)N2
ROCK2,2,COc1ccc(CCNNC2CCCC3C(=O)CCCC3C2N)cc1,O=C1CCCC2CC(NNCCc3ccccc3)CCCC12
ROCK2,3,ClC1CCCC2NC(CNC3CCN(c4cccnc4)C3)NCC12,c1cncc(N2CCC(NCC3NCC4CCCCC4N3)C2)c1
ROCK2,4,O=C1CCC=NC2CC3N[N+](Nc4ccc(=O)[nH]c4)=CCCC3C12,O=C1CCC=NC2CC3N[N+](Nc4ccc(=O)[nH]c4)=CCCC3C12
ROCK2,5,CC1OC2C=C(Nc3cc4c(F)cccc4c4ccc(C(=O)O)nc34)CC2C1=O,O=C1COC2C=C(Nc3cc4ccccc4c4cccnc34)CC12
ROCK2,6,CC1CCC(O)C2OC2C2(C1)CC1Cc3ccccc3OC1=C2O,C1=C2Oc3ccccc3CC2CC12CCCCCC1OC12
ROCK2,7,CC1CCCC(=CCNN2Cc3nccn4c3c(c3cc(N)ccc34)C2)C1=O,O=C1CCCCC1=CCNN1Cc2nccn3c2c(c2ccccc23)C1
ROCK2,8,Cc1cccc2c1[nH+]cn2C(O)=NCC1CC=C2C(C=C3C=CNC=N3)CCC21,C1=CC(=CC2CCC3C2=CCC3CN=Cn2c[nH+]c3ccccc32)N=CN1
ROCK2,9,OC12C3=CCCC1CC1CC(C=[N+]=Nc4ccccn4)CC(=NN3)C12,C(=[N+]=Nc1ccccn1)C1CC2=NNC3=CCCC4CC(C1)C2C34
ROCK2,10,Oc1ccc(CN2N=C(c3ccc(O)cc3)Nc3ccccc32)cc1,c1ccc(CN2N=C(c3ccccc3)Nc3ccccc32)cc1
ROCK2,11,OC1CCC(Cl)CCC1=Cc1nnc(-c2ccc(N3CCCC3)[nH+]c2)[nH]1,C(=C1CCCCCC1)c1nnc(-c2ccc(N3CCCC3)[nH+]c2)[nH]1
ROCK2,12,O=C(Nc1cccc(Cl)c1)NC(C[n+]1ccccc1)C1=[N+]2C=NN=C2N=C1,O=C(Nc1ccccc1)NC(C[n+]1ccccc1)C1=[N+]2C=NN=C2N=C1
ROCK2,13,O=C1CC2C(OC(O)NCCc3ccccc3)NC3=CCCCC1C32,O=C1CC2C(OCNCCc3ccccc3)NC3=CCCCC1C32
ROCK2,14,O=Cc1cccc(CN(c2nc3c([nH]2)-c2ccc(Cl)cc2C3)c2ccnc[nH+]2)c1,c1ccc(CN(c2nc3c([nH]2)-c2ccccc2C3)c2ccnc[nH+]2)cc1
ROCK2,15,O=C(O)c1cc([N+]#Cc2cccnc2)c2c(c1)N[N+](=Cc1ccccc1)C2,C(#[N+]c1cccc2c1C[N+](=Cc1ccccc1)N2)c1cccnc1
ROCK2,16,OCC1CC2ON3CC(OCc4ccccc4)C4CC(O)C1C2C43,c1ccc(COC2CN3OC4CCC5CCC2C3C54)cc1
ROCK2,17,O=C(NC1CCC(C=CCC=Nc2ncccn2)CC1)[n+]1cccc2c1CCN2,O=C(NC1CCC(C=CCC=Nc2ncccn2)CC1)[n+]1cccc2c1CCN2
ROCK2,18,O=C1C(O)=N[N+](=Cc2ccccc2)N1c1ccccc1OCC(O)c1ccccc1,O=C1C=N[N+](=Cc2ccccc2)N1c1ccccc1OCCc1ccccc1
ROCK2,19,C=C1CC([N+]#[N+]c2ccc3nc(C)nc-3cc2)CC2OC(=O)C(O)C12,C=C1CC([N+]#[N+]c2ccc3ncnc-3cc2)CC2OC(=O)CC12
ROCK2,20,CC(=O)C1C(c2cccc(CCC(=O)O)c2)N=C2C(=O)CC3CCCC1C23,O=C1CC2CCCC3CC(c4ccccc4)N=C1C23
MDM2,1,C[C@@H]1NC(=O)C2=C1CCCc1nn(C[C@@H](C)c3ccccc3)cc12,O=C1NCC2=C1c1cn(CCc3ccccc3)nc1CCC2
MDM2,2,C1=CNC2=NC=NC=C(CN3CCCC[C@@H]3c3ccccc3)C2=C1,C1=CNC2=NC=NC=C(CN3CCCC[C@@H]3c3ccccc3)C2=C1
