idx,arm,label
0,LIMK2,LIMK2#1
1,LIMK2,LIMK2#10
2,LIMK2,LIMK2#11
3,LIMK2,LIMK2#12
4,LIMK2,LIMK2#13
5,LIMK2,LIMK2#14
6,LIMK2,LIMK2#15
7,LIMK2,LIMK2#16
8,LIMK2,LIMK2#17
9,LIMK2,LIMK2#18
10,LIMK2,LIMK2#19
11,LIMK2,LIMK2#2
12,LIMK2,LIMK2#20
13,LIMK2,LIMK2#3
14,LIMK2,LIMK2#4
15,LIMK2,LIMK2#5
16,LIMK2,LIMK2#6
17,LIMK2,LIMK2#7
18,LIMK2,LIMK2#8
19,LIMK2,LIMK2#9
20,MDM2,MDM2#1
21,MDM2,MDM2#10
22,MDM2,MDM2#11
23,MDM2,MDM2#12
24,MDM2,MDM2#13
25,MDM2,MDM2#14
26,MDM2,MDM2#15
27,MDM2,MDM2#16
28,MDM2,MDM2#17
29,MDM2,MDM2#18
30,MDM2,MDM2#19
31,MDM2,MDM2#2
32,MDM2,MDM2#20
33,MDM2,MDM2#3
34,MDM2,MDM2#4
35,MDM2,MDM2#5
36,MDM2,MDM2#6
37,MDM2,MDM2#7
38,MDM2,MDM2#8
39,MDM2,MDM2#9
40,ROCK2,ROCK2#1
41,ROCK2,ROCK2#10
42,ROCK2,ROCK2#11
43,ROCK2,ROCK2#12
44,ROCK2,ROCK2#13
45,ROCK2,ROCK2#14
46,ROCK2,ROCK2#15
47,ROCK2,ROCK2#16
48,ROCK2,ROCK2#17
49,ROCK2,ROCK2#18
50,ROCK2,ROCK2#19
51,ROCK2,ROCK2#2
52,ROCK2,ROCK2#20
53,ROCK2,ROCK2#3
54,ROCK2,ROCK2#4
55,ROCK2,ROCK2#5
56,ROCK2,ROCK2#6
57,ROCK2,ROCK2#7
58,ROCK2,ROCK2#8
59,ROCK2,ROCK2#9
