chembl_id	smiles	mw	qed	logp	tpsa	hbd	hba	max_phase	mw_calc	logp_calc	qed_calc	bbb
CHEMBL2	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC	383.41	0.73		106.95	1	8	4.0	383.41	1.785	0.727	0
CHEMBL3	CN1CCC[C@H]1c1cccnc1	162.24	0.63		16.13	0	2	4.0	162.24	1.848	0.626	1
CHEMBL6200	c1cncc([C@@H]2CCCN2)c1	148.21	0.65		24.92	1	2	1.0	148.21	1.506	0.653	1
CHEMBL4	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	361.37	0.87		75.01	1	6	4.0	361.37	1.544	0.875	1
CHEMBL5	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21	232.24	0.85		72.19	1	4	4.0	232.24	1.423	0.85	1
CHEMBL6	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	357.79	0.77		68.53	1	4	4.0	357.79	3.927	0.768	1
CHEMBL403	CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	233.24	0.60		91.75	1	4	4.0	233.24	-0.795	0.599	0
CHEMBL6259	CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1	399.40	0.73		65.78	1	5	2.0	399.4	2.719	0.734	1
CHEMBL6273	CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1	369.34	0.89		65.78	1	5	2.0	369.34	1.699	0.889	1
CHEMBL6209	CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC)c3c2F)C1	379.41	0.81		74.57	2	5	2.0	379.41	2.434	0.806	1
CHEMBL6231	CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21	334.35	0.86		77.81	2	6	2.0	334.35	0.764	0.863	0
CHEMBL8	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	331.35	0.89		74.57	2	5	4.0	331.35	1.583	0.893	1
CHEMBL9	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21	319.34	0.89		74.57	2	5	4.0	319.34	1.268	0.891	1
CHEMBL269538	COc1ccc2c(c1)[nH]c1c(C)nccc12	212.25	0.67		37.91	1	2	1.0	212.25	3.033	0.673	1
CHEMBL405	CC(N)Cc1ccccc1	135.21	0.65		26.02	1	1	4.0	135.21	1.576	0.654	1
CHEMBL6437	CN1CCN2c3ccccc3Cc3ccccc3C2C1	264.37	0.72		6.48	0	2	4.0	264.37	3.084	0.721	1
CHEMBL6731	CC(N)Cc1ccc2c(c1)OCO2	179.22	0.74		44.48	1	3	2.0	179.22	1.305	0.744	1
CHEMBL263881	CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1	323.44	0.94		39.34	1	2	2.0	323.44	2.906	0.943	1
CHEMBL11	CN(C)CCCN1c2ccccc2CCc2ccccc21	280.42	0.84		6.48	0	2	4.0	280.42	3.875	0.838	1
CHEMBL406	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1	365.84	0.87		92.50	2	4	4.0	365.84	2.083	0.871	0
CHEMBL407	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2	303.29	0.79		64.43	0	5	4.0	303.29	1.774	0.793	1
CHEMBL408	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	441.55	0.72		84.86	2	6	4.0	441.55	4.374	0.717	0
CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	0.56		107.26	2	5	4.0	430.38	2.88	0.56	0
CHEMBL12	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	284.75	0.79		32.67	0	2	4.0	284.75	3.154	0.792	1
CHEMBL13	COCCc1ccc(OCC(O)CNC(C)C)cc1	267.37	0.71		50.72	2	4	4.0	267.37	1.613	0.714	1
CHEMBL6378	CC1c2ccccc2CN1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1	365.84	0.87		92.50	2	4	2.0	365.84	2.209	0.872	0
CHEMBL266195	C=CCc1ccccc1OCC(O)CNC(C)C	249.35	0.69		41.49	2	3	2.0	249.35	2.153	0.694	1
CHEMBL538393	CN(C)C1(C)C2CCC(C2)C1(C)C	181.32	0.60		3.24	0	1	2.0	181.32	2.763	0.601	1
CHEMBL411	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	268.36	0.78		40.46	2	2	4.0	268.36	4.829	0.78	0
CHEMBL267936	CNC1(C)C2CCC(C2)C1(C)C	167.30	0.63		12.03	1	1	4.0	167.3	2.421	0.632	1
CHEMBL16	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	252.27	0.80		58.20	2	2	4.0	252.27	1.77	0.8	1
CHEMBL414	NS(=O)(=O)c1ccc(C(=O)O)cc1	201.20	0.70		97.46	2	3	2.0	201.2	0.032	0.705	0
CHEMBL415	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	314.86	0.82		6.48	0	2	4.0	314.86	4.528	0.818	0
