chembl_id	smiles	top_conf	c_rel	qed	mw	aromatic_rings	heavy_atoms	formal_charge
CHEMBL279085	C=CCN1CCc2nc(N)sc2CC1	-0.12068069726228714	1.3327246829867363	0.747	209.3	1	14	0
CHEMBL278488	CC1(c2ccccc2)OC(C(=O)O)=CC1=O	-0.20167607069015503	1.2517293095588684	0.816	218.2	1	16	0
CHEMBL7257	COc1ccc2[nH]cc(CCN(C)C)c2c1	-0.30123984813690186	1.1521655321121216	0.852	218.3	2	16	0
CHEMBL13852	c1ccc(C2CC2)c(OCC2=NCCN2)c1	-0.3214931786060333	1.1319122016429901	0.834	216.3	1	16	0
CHEMBL451	CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1	-0.34053680300712585	1.1128685772418976	0.650	299.8	2	21	0
CHEMBL269455	O=C1NC(=O)C2(N1)c1cc(F)ccc1-c1ccc(F)cc12	-0.3761886656284332	1.0772167146205902	0.728	286.2	2	21	0
CHEMBL416755	CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3	-0.40205222368240356	1.0513531565666199	0.885	261.2	2	19	0
CHEMBL277775	c1ccc(C2CN3CCSC3=N2)cc1	-0.45437756180763245	0.999027818441391	0.696	204.3	1	14	0
CHEMBL280164	Cc1nnc2n1-c1sc(CCC(=O)N3CCOCC3)cc1C(c1ccccc1Cl)=NC2	-0.458610862493515	0.9947945177555084	0.604	456.0	3	31	0
CHEMBL18116	Cc1cccc(N2CC(CO)OC2=O)c1	-0.5006293654441833	0.9527760148048401	0.795	207.2	1	15	0
CHEMBL22542	O=C(O)C1=Cc2sc(Cn3ccnc3)cc2CC1	-0.523637592792511	0.9297677874565125	0.922	260.3	2	18	0
CHEMBL20803	CN1CCC23CCCCC2C1Cc1ccc(O)cc13	-0.5344796180725098	0.9189257621765137	0.772	257.4	1	19	0
CHEMBL42	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	-0.543152391910553	0.9102529883384705	0.800	326.8	2	23	0
CHEMBL13291	CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21	-0.5486384034156799	0.9047669768333435	0.795	302.7	2	21	0
CHEMBL278255	NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1	-0.5738157033920288	0.8795896768569946	0.871	365.8	2	25	0
CHEMBL31	COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12	-0.5917645692825317	0.8616408109664917	0.850	375.4	2	27	0
CHEMBL278398	CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12	-0.5990107655525208	0.8543946146965027	0.752	261.4	2	20	0
CHEMBL267473	O=C(O)c1ccc(OCCn2ccnc2)cc1	-0.6039537787437439	0.8494516015052795	0.851	232.2	2	17	0
CHEMBL13280	CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21	-0.6065887212753296	0.8468166589736938	0.631	313.3	2	23	0
CHEMBL659	COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2	-0.6081700921058655	0.845235288143158	0.801	287.4	1	21	0
CHEMBL18098	CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2	-0.6313654780387878	0.8220399022102356	0.654	202.2	1	15	0
CHEMBL63	COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1	-0.6354871392250061	0.8179182410240173	0.919	275.3	1	20	0
CHEMBL267648	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21	-0.6358675360679626	0.8175378441810608	0.924	333.4	2	24	0
CHEMBL57	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	-0.638793408870697	0.8146119713783264	0.862	266.3	2	20	0
CHEMBL8145	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12	-0.6572477221488953	0.7961576581001282	0.700	254.2	3	19	0
CHEMBL490	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	-0.6602757573127747	0.7931296229362488	0.934	329.4	2	24	0
CHEMBL18144	COc1ccc(-c2nc(S(C)(=O)=O)[nH]c2-c2ccc(OC)cc2)cc1	-0.6920052170753479	0.7614001631736755	0.758	358.4	3	25	0
CHEMBL16332	C[C@H](CS)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O	-0.7024161219596863	0.7509892582893372	0.816	325.5	1	21	0
CHEMBL134	Clc1cccc(Cl)c1NC1=NCCN1	-0.7036957144737244	0.7497096657752991	0.776	230.1	1	14	0
CHEMBL281164	CCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1C	-0.7186776399612427	0.7347277402877808	0.694	295.3	3	22	0
CHEMBL278819	Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1	-0.7191087007522583	0.7342966794967651	0.917	298.4	2	22	0
CHEMBL273786	Cc1cc2c(s1)Nc1ccc(F)cc1N=C2N1CCN(C)CC1	-0.7320800423622131	0.7213253378868103	0.801	330.4	2	23	0
CHEMBL9298	N#Cc1ccc(C2CCCc3cncn32)cc1	-0.7414335012435913	0.7119718790054321	0.745	223.3	2	17	0
CHEMBL12831	O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1	-0.7562055587768555	0.697199821472168	0.864	240.3	2	18	0
CHEMBL2110601	COc1cc2nccc(N)c2cc1OC	-0.7622861266136169	0.6911192536354065	0.810	204.2	2	15	0
CHEMBL282052	Cc1ccccc1-n1c(C)nc2ccccc2c1=O	-0.7665187120437622	0.6868866682052612	0.665	250.3	3	19	0
CHEMBL286020	COc1cc([S+](C)[O-])ccc1-c1nc2cccnc2[nH]1	-0.7735813856124878	0.6798239946365356	0.750	287.3	3	20	0
CHEMBL94	CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C	-0.7867075204849243	0.6666978597640991	0.848	275.4	1	20	0
CHEMBL24171	COc1c2ccoc2cc2oc(=O)ccc12	-0.7931955456733704	0.6602098345756531	0.586	216.2	3	16	0
CHEMBL15870	CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1	-0.8145706653594971	0.6388347148895264	0.940	281.3	2	21	0
CHEMBL681	CCOC(=O)c1cncn1[C@H](C)c1ccccc1	-0.8337224721908569	0.6196829080581665	0.777	244.3	2	18	0
CHEMBL23832	O=C(O)c1ccccc1Nc1ccccc1	-0.8387783169746399	0.6146270632743835	0.823	213.2	2	16	0
CHEMBL861	CCC1(c2ccccc2)NC(=O)N(C)C1=O	-0.8485074639320374	0.6048979163169861	0.764	218.3	1	16	0
CHEMBL135	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	-0.85858553647995	0.5948198437690735	0.757	272.4	1	20	0
CHEMBL108	NC(=O)N1c2ccccc2C=Cc2ccccc21	-0.8596311807632446	0.5937741994857788	0.748	236.3	2	18	0
CHEMBL11672	CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1	-0.8622950911521912	0.5911102890968323	0.791	308.3	3	23	0
CHEMBL7549	CCCN1CCC[C@@H](c2cccc(O)c2)C1	-0.8662733435630798	0.5871320366859436	0.844	219.3	1	16	0
CHEMBL275638	O=c1cc(-c2ccccc2)oc2ccccc12	-0.8781999945640564	0.575205385684967	0.631	222.2	3	17	0
CHEMBL32573	c1cc2c(c(NC3=NCCN3)c1)CCCC2	-0.8852233290672302	0.5681820511817932	0.751	215.3	1	16	0
CHEMBL407641	CNc1nc(Cl)c(SC)c(N2CCN(C)CC2)n1	-0.8873710036277771	0.5660343766212463	0.674	287.8	1	18	0
CHEMBL278462	CC(C)(C)CCC#C[C@@H]1C[C@H]1c1c[nH]cn1	-0.8885612487792969	0.5648441314697266	0.755	216.3	1	16	0
CHEMBL648	CN1CCN(C(c2ccccc2)c2ccccc2)CC1	-0.8909438848495483	0.5624614953994751	0.842	266.4	2	20	0
CHEMBL946	CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1	-0.9027725458145142	0.5506328344345093	0.735	290.4	2	22	0
CHEMBL691	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	-0.9048187732696533	0.5485866069793701	0.718	296.4	1	22	0
CHEMBL118	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	-0.9078088402748108	0.5455965399742126	0.754	381.4	3	26	0
CHEMBL268501	Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1	-0.911690890789032	0.5417144894599915	0.711	278.4	3	21	0
CHEMBL18772	c1ccc2nc(N3CCNCC3)ccc2c1	-0.9240570664405823	0.5293483138084412	0.780	213.3	2	16	0
CHEMBL12552	CC1(C)C=C(n2ccccc2=O)c2cc(C#N)ccc2O1	-0.9299893379211426	0.5234160423278809	0.806	278.3	2	21	0
CHEMBL7002	CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1	-0.9307915568351746	0.5226138234138489	0.887	333.5	1	23	0
CHEMBL273575	CN1Cc2c(N)cccc2C(c2ccccc2)C1	-0.9308013319969177	0.5226040482521057	0.774	238.3	2	18	0
CHEMBL10634	Cc1ccc2c(c1)CC(=O)c1cc(C(C)C(=O)O)ccc1O2	-0.9352967143058777	0.5181086659431458	0.917	296.3	2	22	0
CHEMBL128	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1	-0.9505345225334167	0.5028708577156067	0.845	295.4	2	20	0
CHEMBL18	CCOc1ccc2nc(S(N)(=O)=O)sc2c1	-0.9514129161834717	0.5019924640655518	0.900	258.3	2	16	0
CHEMBL51934	Nc1c2c(nc3ccccc13)CCCC2O	-0.9610963463783264	0.492309033870697	0.706	214.3	2	16	0
CHEMBL11	CN(C)CCCN1c2ccccc2CCc2ccccc21	-0.9669948220252991	0.48641055822372437	0.838	280.4	2	21	0
CHEMBL273910	O=C1CC2(C(=O)N1)C(=O)N(Cc1ccc(Br)cc1F)C(=O)c1ccc(F)cc12	-0.9695451259613037	0.4838602542877197	0.563	449.2	2	28	0
CHEMBL625	c1ccc2[nH]c(-c3cscn3)nc2c1	-0.9763100743293762	0.4770953059196472	0.657	201.3	3	14	0
CHEMBL683	CC(C)(Oc1ccc(Cl)cc1)C(=O)O	-1.0042734146118164	0.44913196563720703	0.841	214.6	1	14	0
CHEMBL279960	Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl	-1.0051870346069336	0.44821834564208984	0.680	270.7	3	19	0
CHEMBL277465	CCCCn1c(=O)c2c(ncn2CC(C)=O)n(CCCC)c1=O	-1.0055114030838013	0.44789397716522217	0.739	320.4	2	23	0
CHEMBL428479	COc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1	-1.0151686668395996	0.43823671340942383	0.875	285.3	2	21	0
CHEMBL100	CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O	-1.0219606161117554	0.43144476413726807	0.853	286.3	1	21	0
CHEMBL6259	CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1	-1.0286312103271484	0.424774169921875	0.734	399.4	3	29	0
CHEMBL6437	CN1CCN2c3ccccc3Cc3ccccc3C2C1	-1.0320321321487427	0.42137324810028076	0.721	264.4	2	20	0
CHEMBL561	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21	-1.041202425956726	0.41220295429229736	0.882	351.4	2	25	0
CHEMBL6068541	CCNCc1nc2c(O)c(Cl)cc(Cl)c2c(=O)n1C	-1.0445067882537842	0.40889859199523926	0.910	302.2	2	19	0
CHEMBL685	COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1	-1.0577353239059448	0.3956700563430786	0.727	295.3	3	22	0
CHEMBL894	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	-1.0595067739486694	0.393898606300354	0.820	239.7	1	16	0
CHEMBL63323	O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1	-1.0657665729522705	0.38763880729675293	0.903	282.2	2	20	0
CHEMBL2104119	Clc1cccc(Cl)c1/N=C1/NCCO1	-1.0700613260269165	0.38334405422210693	0.805	231.1	1	14	0
CHEMBL521	CC(C)Cc1ccc(C(C)C(=O)O)cc1	-1.072125792503357	0.3812795877456665	0.822	206.3	1	15	0
