#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100000,-3005318.5179410074,301.68957289120476,0
150000,-3004845.4046597574,300.6311091262712,137
200000,-3003030.5667691324,299.37776849604234,137
250000,-3003943.9866910074,300.46175463098007,137
300000,-3003339.8734097574,300.3158060916164,137
350000,-3003651.9984097574,300.3289605644777,137
400000,-3004468.2718472574,300.1450766492989,136
450000,-3002824.2249722574,300.02266466140645,136
500000,-3003210.0667691324,301.5905166833985,137
550000,-3007539.2230191324,300.4883624586874,137
600000,-3004768.2620816324,298.849008198046,137
650000,-3005472.0023160074,300.77915261842037,137
700000,-3003311.5394253824,300.8623425241362,137
750000,-3007108.4632535074,300.7114947806806,137
800000,-3004966.4827847574,299.86911341735157,137
850000,-3004621.7659878824,299.91524350952653,137
900000,-3000708.6780972574,299.7603568665668,137
950000,-3002438.4905972574,299.94565299478023,137
1000000,-3006003.8636441324,299.5320653259512,137
1050000,-3004053.2913785074,299.2440078197926,137
1100000,-3002705.1800503824,299.63569841730003,137
1150000,-3005382.7757535074,301.26701782946657,137
1200000,-3003725.2015347574,299.53543970434043,137
1250000,-3005014.0804410074,300.24065533310267,137
1300000,-3001643.7523160074,300.6838655653053,137
1350000,-3004265.4769253824,300.23384805264254,137
1400000,-3001123.9710660074,300.77689198471546,137
1450000,-3006014.4320035074,300.8335524300017,136
1500000,-3005478.6780972574,300.10859099144415,136
1550000,-3005718.0863003824,299.8732624393149,136
1600000,-3003219.6038785074,299.7612321059113,136
1650000,-3003260.8577847574,299.95647634329845,136
1700000,-3008400.5530972574,299.6389911660613,136
1750000,-3001973.3636441324,300.76142543375744,136
1800000,-3005888.0042691324,299.84212497827133,136
1850000,-3002876.6253628824,300.18054894314236,136
1900000,-3004027.7659878824,300.51815693330053,136
1950000,-3005852.3030972574,299.1214542025407,136
2000000,-3005167.7425503824,300.36935980100225,136
2050000,-3001024.2835660074,299.76571245795594,136
2100000,-3001621.2679410074,300.90826031416407,136
2150000,-3003777.6722378824,300.6583615701687,136
2200000,-3001518.8577847574,301.21686485837057,136
2250000,-3001359.6214566324,300.0189009649437,136
2300000,-3005587.9652066324,300.94398432071637,136
2350000,-3002381.1097378824,299.6734569037126,136
2400000,-3004652.6409878824,300.1469963307527,136
2450000,-3006449.9613003824,300.773410113669,136
2500000,-3005158.8187222574,300.36652180459504,136
2550000,-3004940.5726285074,299.84159377593886,136
2600000,-3003906.8753628824,300.2506845280461,136
2650000,-3005978.9710660074,300.46407986607227,136
2700000,-3005028.8831753824,300.15571442182863,136
2750000,-3003791.3714566324,301.133997599221,136
2800000,-3002856.7913785074,299.5282146206547,136
2850000,-3005691.8695035074,299.40814100845284,136
2900000,-3002959.5902066324,300.052887336047,136
2950000,-3005120.8304410074,300.14511294859795,136
3000000,-3003292.0335660074,300.1856301067376,136
3050000,-3004655.0687222574,299.40524622669903,136
3100000,-3005329.3265347574,300.89733102836044,136
3150000,-3003876.0823941324,299.51754457804435,136
3200000,-3005279.9905972574,300.77464088593644,136
3250000,-3004303.8245816324,300.40693804735076,136
3300000,-3002034.0609097574,300.7243568265284,136
3350000,-3001554.1878628824,299.228690991076,136
3400000,-3006013.8245816324,300.27884079327873,136
3450000,-3004789.0335660074,300.3178715049253,136
3500000,-3006302.7738003824,301.752851529388,136
3550000,-3004866.6409878824,301.6275917802421,136
3600000,-3002997.6956753824,298.63661934379695,136
3650000,-3002449.9710660074,299.85903110119557,136
3700000,-3003897.8284878824,298.8880248940377,136
3750000,-3003518.5804410074,299.656592676403,136
3800000,-3002233.8441128824,300.2620017115075,136
3850000,-3007280.3851285074,301.7217900629302,136
3900000,-3004699.6195035074,299.7713766682004,136
3950000,-3004883.4495816324,300.1901886500637,136
4000000,-3004878.5530972574,299.8894993083476,136
4050000,-3004426.9378628824,300.8638912292306,136
4100000,-3003272.6566128824,300.3535707052579,136
4150000,-3006802.2073941324,299.804426875339,137
4200000,-3003340.5726285074,300.56329186964547,137
4250000,-3007449.0413785074,301.6264238245704,137
4300000,-3005348.7679410074,299.37425867474457,137
4350000,-3005058.6859097574,301.25558869537116,137
4400000,-3004265.7777066324,300.07529135916735,137
4450000,-3008048.0960660074,300.71705987735106,137
4500000,-3005847.7230191324,301.2824839473303,137
4550000,-3002533.0023160074,298.95739362527775,137
4600000,-3000805.1663785074,300.79711239952866,137
4650000,-3002563.3597378824,300.95545389334865,137
4700000,-3002917.1175503824,300.9546704505264,137
4750000,-3003405.4808316324,301.3623426573447,137
4800000,-3001965.2327847574,299.3404549746335,137
4850000,-3002663.0433316324,300.2636610571061,137
4900000,-3003783.8577847574,299.82453420596863,137
4950000,-3006076.9671597574,299.59447459655195,137
5000000,-3002425.1175503824,300.57886030972134,137
5050000,-3002677.6527066324,300.49131928866404,137
