#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1.0%,100000,200.00000000022686,-1553855.9867591178,245609.6438416797,298.7162532717565,1.0264092251608952
1.5%,150000,300.00000000070435,-1552320.8118698997,246523.30457779573,299.8274690513373,1.0270912417769689
2.0%,200000,400.00000000118183,-1551435.3340854105,247578.33949042924,301.1106274454593,1.0267617244116727
2.5%,250000,500.0000000016593,-1554791.9885345967,247827.07262780936,301.41314256538925,1.0281087672392502
3.0%,300000,599.9999999996356,-1553914.1207838655,246774.52855481373,300.1330135893002,1.0268832140273692
3.5%,350000,699.999999997271,-1553083.5062998803,248099.13962119233,301.74403687243307,1.0270907198958423
4.0%,400000,799.9999999949063,-1552970.134727437,247586.23432971293,301.1202293355729,1.031146096848342
4.5%,450000,899.9999999925416,-1553993.716375907,247413.59999999727,300.9102673839486,1.0285280972573239
5.0%,500000,999.9999999901769,-1552236.0886897324,245866.42476307257,299.02855629679397,1.0264410359992884
5.5%,550000,1099.9999999878123,-1555763.9390204186,247041.76101441198,300.4580280221017,1.0281906819312279
6.0%,600000,1199.9999999854476,-1553313.6951194257,247252.92504623818,300.7148507079957,1.0294682389096816
6.5%,650000,1299.999999983083,-1550930.2716601426,247646.2704720479,301.1932467106999,1.02957551261595
7.0%,700000,1399.9999999807183,-1552281.3096541539,246173.7144063763,299.40228922307955,1.0289866198517268
7.5%,750000,1499.9999999783536,-1553972.132140682,247362.32265931988,300.84790267039216,1.0298114670334404
8.0%,800000,1599.9999999759889,-1556983.6311227959,247027.77378267184,300.44101642030256,1.0297951384078132
8.5%,850000,1699.9999999736242,-1556172.35381391,246398.68852694432,299.6759080652717,1.0302901747366164
9.0%,900000,1799.9999999712595,-1553505.1556651937,246635.59706398717,299.96404182682363,1.029416176276859
9.5%,950000,1899.9999999688948,-1554095.5032064514,245137.76582623174,298.1423440775931,1.0284594436202916
10.0%,1000000,1999.9999999665301,-1556222.7423770651,246131.90722100053,299.35144233620673,1.0321890082847558
10.5%,1050000,2099.9999999641655,-1554077.2421488473,245697.0876225668,298.8226044646084,1.0283714068322238
11.0%,1100000,2199.9999999618008,-1553689.1615268122,246353.20325821853,299.6205878065054,1.028579419127009
11.5%,1150000,2299.999999959436,-1552771.828479345,247446.372545584,300.9501261283966,1.0279688433253642
12.0%,1200000,2399.9999999570714,-1553296.0320735853,247598.36475005394,301.13498263946684,1.0263520679468607
12.5%,1250000,2499.9999999547067,-1555463.7756585553,247461.5757184577,300.9686165865384,1.029335347502579
13.0%,1300000,2599.999999952342,-1555135.8348565614,245555.04288056438,298.6498462924771,1.0300379789721372
13.5%,1350000,2699.9999999499773,-1554515.6352542415,246094.59193270086,299.3060586007138,1.0282183377211822
14.0%,1400000,2799.9999999476127,-1555415.4156750822,245679.74278176288,298.80150925931645,1.0319600223779506
14.5%,1450000,2899.999999945248,-1554565.080027665,247056.26218161953,300.47566468436196,1.030235573631258
15.0%,1500000,2999.9999999428833,-1555242.1847413555,247447.43356483532,300.95141656508486,1.0327036731417993
15.5%,1550000,3099.9999999405186,-1556444.9457538174,246275.532443732,299.5261227263519,1.0301688225927772
16.0%,1600000,3199.999999938154,-1554244.816845011,247525.52622938788,301.04639470925815,1.0299415476748701
16.5%,1650000,3299.999999935789,-1555400.5980334524,246207.62375038493,299.44353056863395,1.0311186724474741
17.0%,1700000,3399.9999999334245,-1552480.6430749195,248662.1474705782,302.4287803242804,1.030945922790641
17.5%,1750000,3499.99999993106,-1554796.1626237482,247954.53538701683,301.568165785433,1.0305994076757619
18.0%,1800000,3599.999999928695,-1554627.1101525584,246127.70911621852,299.34633650195815,1.0301779847301873
18.5%,1850000,3699.9999999263305,-1553401.6931308424,247597.05939142255,301.13339503145016,1.0273312311343525
19.0%,1900000,3799.999999923966,-1554567.2302852692,246029.34962684475,299.2267093664764,1.0266762744040487
19.5%,1950000,3899.999999921601,-1553937.4662703034,247701.53841115267,301.26046488437254,1.0316964213691089
20.0%,2000000,3999.9999999192364,-1554320.6398048084,247876.58620611948,301.47336214947205,1.0312384339422485
20.5%,2050000,4099.999999917781,-1553256.0352408802,246245.71951892905,299.4898635426451,1.0279932057072576
21.0%,2100000,4199.999999938153,-1553294.126723677,246503.4604135844,299.8033341098513,1.027888177884434
21.5%,2150000,4299.999999958526,-1555509.1926441453,245478.47475103152,298.55672232382375,1.0270814827463972
22.0%,2200000,4399.999999978899,-1552167.5701409895,247180.07307290152,300.6262464163311,1.028510876159418
22.5%,2250000,4499.9999999992715,-1555436.9457461126,246661.0752439117,299.9950289913673,1.032922583382505
23.0%,2300000,4600.000000019644,-1553732.8587468565,247418.48696158527,300.9162110221243,1.0303783958374684
23.5%,2350000,4700.000000040017,-1553661.889864373,247523.07795649182,301.0434170619026,1.0271510078687076
24.0%,2400000,4800.0000000603895,-1551711.1076591583,246170.35391239528,299.39820211088215,1.029688310776295
24.5%,2450000,4900.000000080762,-1555414.430551608,248444.39591350718,302.16394573450236,1.0285516362608067
25.0%,2500000,5000.000000101135,-1554818.6457729023,246510.191263343,299.8115203283961,1.02883767843551
25.5%,2550000,5100.000000121508,-1555010.7299526222,246259.94644894364,299.5071666711503,1.0291660831131137
26.0%,2600000,5200.00000014188,-1553908.962106918,246802.82513918407,300.1674285639375,1.0316164037602313
26.5%,2650000,5300.000000162253,-1554266.9696747102,246343.26122316174,299.6084960685117,1.0290360139509693
27.0%,2700000,5400.000000182626,-1552459.8612551913,247241.38192610219,300.70081169249056,1.0262022106448685
27.5%,2750000,5500.000000202998,-1554708.7230101805,247166.9089380404,300.61023588440827,1.028893614792732
28.0%,2800000,5600.000000223371,-1553164.2065271297,247745.0852502622,301.31342757922914,1.0292510559393457
