#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
1.0%,100000,200.00000000022686,-1648827.4986287951,254743.37674736994,-1394084.1218814251,300.4372019311885,1045.2132057683134,0.9752688559959105,0,--
1.5%,150000,300.00000000070435,-1648242.4095352506,254262.88001250842,-1393979.5295227421,299.8705175431503,1045.2132057683134,0.9752688559959105,211,2:14:43
2.0%,200000,400.00000000118183,-1644745.4850125415,254198.05293890092,-1390547.4320736406,299.79406230866016,1045.2132057683134,0.9752688559959105,212,2:13:05
2.5%,250000,500.0000000016593,-1645433.0049957521,254610.99344753008,-1390822.011548222,300.28107277605943,1045.2132057683134,0.9752688559959105,212,2:12:08
3.0%,300000,599.9999999996356,-1645975.5058323853,254727.13473113894,-1391248.3711012462,300.4180465522638,1045.2132057683134,0.9752688559959105,213,2:11:19
3.5%,350000,699.999999997271,-1648089.7084384393,253676.33625571826,-1394413.372182721,299.1787642683439,1045.2132057683134,0.9752688559959105,213,2:10:35
4.0%,400000,799.9999999949063,-1647236.3638864458,255729.60706290678,-1391506.756823539,301.60033433621055,1045.2132057683134,0.9752688559959105,213,2:09:53
4.5%,450000,899.9999999925416,-1648455.5158804124,253970.13264481042,-1394485.383235602,299.52525949896915,1045.2132057683134,0.9752688559959105,213,2:09:10
5.0%,500000,999.9999999901769,-1646761.7246867754,254188.90053942954,-1392572.8241473457,299.783268225127,1045.2132057683134,0.9752688559959105,213,2:08:28
5.5%,550000,1099.9999999878123,-1647895.2949373852,253479.16046106056,-1394416.1344763248,298.94622065998044,1045.2132057683134,0.9752688559959105,213,2:07:47
6.0%,600000,1199.9999999854476,-1646948.8994807545,254940.8319122662,-1392008.0675684884,300.6700750209848,1045.2132057683134,0.9752688559959105,213,2:07:05
