uniprot	cos_SMN1_P14639	cos_SMN2_Q16637	cos_ROCK2_O75116	cos_TP53_P04637	cos_PERP_P60468	sig_down	sig_up	signature_score	gene	ensembl	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	is_anchor	sma_papers	novelty_bucket	druggability_score	druggability_tier	druggability_note	atlas_score
Q9H4Z3	0.5172605	0.5831319	0.481167	0.8262634	0.7859607	0.59187996	0.8262634	0.7090717	PCIF1	ENSG00000100982	22.9	21.4	40.9	31.2	Phosphorylated CTD interacting factor 1	Enzymes, Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.7090717
Q10587	0.5120982	0.6284889	0.4609562	0.8136053	0.7913961	0.59823483	0.8136053	0.7059201	TEF	ENSG00000167074	14.1	53.1	41.2	30.4	TEF transcription factor, PAR bZIP family member	Plasma proteins, Predicted intracellular proteins, Transcription factors	False	2	some_prior_work	1.0	druggable	bucket=4	0.7059201
O00443	0.5477432	0.60202277	0.5216565	0.792196	0.80508953	0.619128	0.792196	0.705662	PIK3C2A	ENSG00000011405	8.8	11.4	3.8	10.3	Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	False	1	some_prior_work	1.0	druggable	bucket=4	0.705662
Q12830	0.52763057	0.64007926	0.4957348	0.79061985	0.8133948	0.6192099	0.79061985	0.70491487	BPTF	ENSG00000171634	22.8	20.4	23.0	19.0	Bromodomain PHD finger transcription factor	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.70491487
P49792	0.56174606	0.55977803	0.52223957	0.7802271	0.83509696	0.61971515	0.7802271	0.69997114	RANBP2	ENSG00000153201	8.6	16.5	28.4	14.0	RAN binding protein 2	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	False	4	some_prior_work	1.0	druggable	bucket=4	0.69997114
Q96CV9	0.58342326	0.5949644	0.70203656	0.7363138	0.7346158	0.65376	0.7363138	0.6950369	OPTN	ENSG00000123240	74.0	68.1	835.6	99.1	Optineurin	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	False	2	some_prior_work	1.0	druggable	bucket=4	0.6950369
Q6PKG0	0.53606915	0.6248044	0.43521884	0.78742856	0.787646	0.59593457	0.78742856	0.69168156	LARP1	ENSG00000155506	28.5	46.7	66.1	46.9	La ribonucleoprotein 1, translational regulator	Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.69168156
O60239	0.55526096	0.5532324	0.5205301	0.78174454	0.7748991	0.60098064	0.78174454	0.6913626	SH3BP5	ENSG00000131370	35.9	36.9	63.1	20.6	SH3 domain binding protein 5	Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.6913626
P42356	0.55526686	0.5657286	0.51543427	0.75985944	0.830361	0.61669767	0.75985944	0.68827856	PI4KA	ENSG00000241973	14.0	103.1	23.0	20.9	Phosphatidylinositol 4-kinase alpha	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	False	2	some_prior_work	1.0	druggable	bucket=4	0.68827856
Q8WYB5	0.4744199	0.5915404	0.4692762	0.7885704	0.8151994	0.58760893	0.7885704	0.68808967	KAT6B	ENSG00000156650	6.1	6.3	11.1	7.2	Lysine acetyltransferase 6B	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors	False	0	truly_novel	1.0	druggable	bucket=5	0.68808967
Q96L91	0.4414028	0.6226028	0.43031478	0.8004495	0.80368465	0.5745013	0.8004495	0.6874754	EP400	ENSG00000183495	12.4	19.5	19.2	14.1	E1A binding protein p400	Essential proteins, Plasma proteins, Predicted intracellular proteins	False	1	some_prior_work	1.0	druggable	bucket=4	0.6874754
Q9H792	0.4740212	0.6504289	0.45072573	0.77495956	0.82435036	0.59988153	0.77495956	0.68742055	PEAK1	ENSG00000173517	5.1	8.2	6.3	15.0	Pseudopodium enriched atypical kinase 1	Enzymes, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=5	0.68742055
Q70CQ2	0.5442016	0.6184374	0.5272102	0.7592249	0.76626813	0.6140293	0.7592249	0.6866271	USP34	ENSG00000115464	38.8	40.2	54.1	35.4	Ubiquitin specific peptidase 34	Enzymes, Metabolic proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.6866271
O95251	0.5300044	0.4648351	0.47995576	0.7912545	0.81744576	0.5730603	0.7912545	0.6821574	KAT7	ENSG00000136504	12.7	22.0	29.2	24.5	Lysine acetyltransferase 7	Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transcription factors	False	0	truly_novel	1.0	druggable	bucket=4	0.6821574
Q63HN8	0.5369844	0.61063755	0.45127428	0.77051115	0.77440524	0.5933254	0.77051115	0.68191826	RNF213	ENSG00000173821	6.7	5.4	6.1	6.1	Ring finger protein 213	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	False	1	some_prior_work	1.0	druggable	bucket=4	0.68191826
P20290	0.5030491	0.5891417	0.4283408	0.75973743	0.8871753	0.6019267	0.75973743	0.680832	BTF3	ENSG00000145741	358.9	235.7	850.4	453.4	Basic transcription factor 3	Essential proteins, Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.680832
Q96KQ7	0.4707384	0.5754305	0.42706567	0.7910235	0.8082287	0.57036585	0.7910235	0.6806947	EHMT2	ENSG00000204371	12.1	26.1	5.2	5.4	Euchromatic histone lysine methyltransferase 2	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	False	1	some_prior_work	1.0	druggable	bucket=4	0.6806947
