uniprot	cos_SMN1_P14639	cos_SMN2_Q16637	cos_ROCK2_O75116	cos_TP53_P04637	cos_PERP_P60468	sig_down	sig_up	signature_score	gene	ensembl	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	is_anchor
P04637	0.4945873	0.4938631	0.39649862	0.99999976	0.73989296	0.5312105	0.99999976	0.7656051	TP53	ENSG00000141510	5.1	12.3	11.6	10.7	Tumor protein p53	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors, Transporters	True
Q8ND30	0.5534034	0.56959486	0.63475704	0.79080147	0.79016316	0.6369796	0.79080147	0.71389055	PPFIBP2	ENSG00000166387	14.1	7.4	25.4	10.3	PPFIA binding protein 2	Plasma proteins, Predicted intracellular proteins	False
Q9P246	0.5897444	0.52580035	0.51715857	0.8103318	0.81904685	0.61293757	0.8103318	0.7116347	STIM2	ENSG00000109689	7.1	10.0	7.7	6.2	Stromal interaction molecule 2	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	False
Q9UIG0	0.5813902	0.66072744	0.55800575	0.7798189	0.75388414	0.6385019	0.7798189	0.7091604	BAZ1B	ENSG00000009954	19.2	19.0	26.3	18.3	Bromodomain adjacent to zinc finger domain 1B	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False
Q9NRR4	0.51721346	0.629967	0.47747782	0.80959797	0.80973333	0.6085979	0.80959797	0.7090979	DROSHA	ENSG00000113360	6.8	16.2	20.8	12.1	Drosha ribonuclease III	Cancer-related genes, Enzymes, Essential proteins, Predicted intracellular proteins	False
Q9H4Z3	0.5172605	0.5831319	0.481167	0.8262634	0.7859607	0.59187996	0.8262634	0.7090717	PCIF1	ENSG00000100982	22.9	21.4	40.9	31.2	Phosphorylated CTD interacting factor 1	Enzymes, Plasma proteins, Predicted intracellular proteins	False
Q86W92	0.5524782	0.58907175	0.6339307	0.77606076	0.79264677	0.64203185	0.77606076	0.7090463	PPFIBP1	ENSG00000110841	13.5	21.8	24.2	71.7	PPFIA binding protein 1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	False
Q10587	0.5120982	0.6284889	0.4609562	0.8136053	0.7913961	0.59823483	0.8136053	0.7059201	TEF	ENSG00000167074	14.1	53.1	41.2	30.4	TEF transcription factor, PAR bZIP family member	Plasma proteins, Predicted intracellular proteins, Transcription factors	False
O00443	0.5477432	0.60202277	0.5216565	0.792196	0.80508953	0.619128	0.792196	0.705662	PIK3C2A	ENSG00000011405	8.8	11.4	3.8	10.3	Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	False
Q12830	0.52763057	0.64007926	0.4957348	0.79061985	0.8133948	0.6192099	0.79061985	0.70491487	BPTF	ENSG00000171634	22.8	20.4	23.0	19.0	Bromodomain PHD finger transcription factor	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
