accession	header	seq_len
P0C6T2	sp|P0C6T2|OST4_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4 OS=Homo sapiens OX=9606 GN=OST4 PE=1 SV=1	37
P62328	sp|P62328|TYB4_HUMAN Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2	44
P63313	sp|P63313|TYB10_HUMAN Thymosin beta-10 OS=Homo sapiens OX=9606 GN=TMSB10 PE=1 SV=2	44
Q8N4H5	sp|Q8N4H5|TOM5_HUMAN Mitochondrial import receptor subunit TOM5 homolog OS=Homo sapiens OX=9606 GN=TOMM5 PE=1 SV=1	51
Q9P0U1	sp|Q9P0U1|TOM7_HUMAN Mitochondrial import receptor subunit TOM7 homolog OS=Homo sapiens OX=9606 GN=TOMM7 PE=1 SV=1	55
A0A1B0GUW7	sp|A0A1B0GUW7|SIM27_HUMAN Small integral membrane protein 27 OS=Homo sapiens OX=9606 GN=SMIM27 PE=1 SV=1	55
O14957	sp|O14957|QCR10_HUMAN Cytochrome b-c1 complex subunit 10 OS=Homo sapiens OX=9606 GN=UQCR11 PE=1 SV=1	56
Q8NCU8	sp|Q8NCU8|MTLN_HUMAN Mitoregulin OS=Homo sapiens OX=9606 GN=MTLN PE=1 SV=2	56
Q96I36	sp|Q96I36|COX14_HUMAN Cytochrome c oxidase assembly protein COX14 OS=Homo sapiens OX=9606 GN=COX14 PE=1 SV=1	57
Q96IX5	sp|Q96IX5|ATPMK_HUMAN ATP synthase F(0) complex subunit k, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MK PE=1 SV=1	58
O75438	sp|O75438|NDUB1_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 OS=Homo sapiens OX=9606 GN=NDUFB1 PE=1 SV=1	58
P56378	sp|P56378|ATP68_HUMAN ATP synthase F(0) complex subunit j, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MJ PE=1 SV=1	58
P58511	sp|P58511|SIM11_HUMAN Small integral membrane protein 11 OS=Homo sapiens OX=9606 GN=SMIM11 PE=1 SV=1	58
A4D0T7	sp|A4D0T7|SIM30_HUMAN Small integral membrane protein 30 OS=Homo sapiens OX=9606 GN=SMIM30 PE=1 SV=2	59
Q9NRQ5	sp|Q9NRQ5|SMCO4_HUMAN Single-pass membrane and coiled-coil domain-containing protein 4 OS=Homo sapiens OX=9606 GN=SMCO4 PE=1 SV=1	59
Q9BZL3	sp|Q9BZL3|SMIM3_HUMAN Small integral membrane protein 3 OS=Homo sapiens OX=9606 GN=SMIM3 PE=1 SV=1	60
P02795	sp|P02795|MT2_HUMAN Metallothionein-2 OS=Homo sapiens OX=9606 GN=MT2A PE=1 SV=1	61
P31358	sp|P31358|CD52_HUMAN CAMPATH-1 antigen OS=Homo sapiens OX=9606 GN=CD52 PE=1 SV=1	61
P0DI80	sp|P0DI80|ERLN_HUMAN Endoregulin OS=Homo sapiens OX=9606 GN=ERLN PE=1 SV=1	62
P15954	sp|P15954|COX7C_HUMAN Cytochrome c oxidase subunit 7C, mitochondrial OS=Homo sapiens OX=9606 GN=COX7C PE=1 SV=1	63
Q9UDW1	sp|Q9UDW1|QCR9_HUMAN Cytochrome b-c1 complex subunit 9 OS=Homo sapiens OX=9606 GN=UQCR10 PE=1 SV=3	63
Q8N6R1	sp|Q8N6R1|SERP2_HUMAN Stress-associated endoplasmic reticulum protein 2 OS=Homo sapiens OX=9606 GN=SERP2 PE=1 SV=1	65
Q8WVX3	sp|Q8WVX3|SRALN_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase regulator ARLN OS=Homo sapiens OX=9606 GN=ARLN PE=1 SV=2	66
Q9Y6X1	sp|Q9Y6X1|SERP1_HUMAN Stress-associated endoplasmic reticulum protein 1 OS=Homo sapiens OX=9606 GN=SERP1 PE=1 SV=1	66
P62875	sp|P62875|RPAB5_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC5 OS=Homo sapiens OX=9606 GN=POLR2L PE=1 SV=1	67
Q8N5G0	sp|Q8N5G0|SIM20_HUMAN Small integral membrane protein 20 OS=Homo sapiens OX=9606 GN=SMIM20 PE=1 SV=3	67
P60059	sp|P60059|SC61G_HUMAN Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1	68
P56385	sp|P56385|ATP5I_HUMAN ATP synthase F(0) complex subunit e, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5ME PE=1 SV=2	69
P10176	sp|P10176|COX8A_HUMAN Cytochrome c oxidase subunit 8A, mitochondrial OS=Homo sapiens OX=9606 GN=COX8A PE=1 SV=2	69
O15239	sp|O15239|NDUA1_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 OS=Homo sapiens OX=9606 GN=NDUFA1 PE=1 SV=1	70
Q8WVI0	sp|Q8WVI0|UQCC5_HUMAN Ubiquinol-cytochrome c reductase complex assembly factor 5 OS=Homo sapiens OX=9606 GN=UQCC5 PE=1 SV=2	70
Q3MUY2	sp|Q3MUY2|PIGY_HUMAN Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y OS=Homo sapiens OX=9606 GN=PIGY PE=1 SV=1	71
Q969W0	sp|Q969W0|SPTSA_HUMAN Serine palmitoyltransferase small subunit A OS=Homo sapiens OX=9606 GN=SPTSSA PE=1 SV=2	71
Q8TBQ9	sp|Q8TBQ9|KISHA_HUMAN Protein kish-A OS=Homo sapiens OX=9606 GN=TMEM167A PE=1 SV=1	72
Q9NRX6	sp|Q9NRX6|KISHB_HUMAN Protein kish-B OS=Homo sapiens OX=9606 GN=TMEM167B PE=1 SV=1	74
P09669	sp|P09669|COX6C_HUMAN Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2	75
