job_name,target,predicate,iptm,ptm,ranking_score,created_utc
uba1_1_1058_atp,UBA1,af3_iptm,0.980,0.890,0.980,2026-08-05
posktrl_uba1_full_atp,UBA1,af3_iptm,0.980,0.900,0.980,2026-08-06
posktrl_gapdh_tetramer_nad,"",af3_iptm,0.970,0.970,0.970,2026-08-06
gapdh_1_335_nad,GAPDH,af3_iptm,0.970,0.960,0.970,2026-08-05
gapdh_tetramer,"",af3_iptm,0.960,0.960,0.960,2026-08-03
gapdh_1_335_nap,GAPDH,af3_iptm,0.960,0.960,0.960,2026-08-03
uba1_adenylation_400_860_amp,UBA1,af3_iptm,0.960,0.580,0.920,2026-08-05
dnm1l_gtpase_1_300_gdp,DNM1L,af3_iptm,0.950,0.810,0.940,2026-08-10
mito_dnm1l_gtpase_gdp_s42,DNM1L,af3_iptm,0.950,0.810,0.940,2026-08-14
eno2_1_434_dimer_cit,"",af3_iptm,0.950,0.960,0.950,2026-08-03
posktrl_eno2_dimer_cit,"",af3_iptm,0.950,0.960,0.960,2026-08-06
mk2_full_atp_s7,MK2,af3_iptm,0.950,0.770,1.030,2026-08-10
mito_dnm1l_gtpase_gdp_s7,DNM1L,af3_iptm,0.950,0.810,0.920,2026-08-13
prkaa1_1_550_amp,PRKAA1,af3_iptm,0.950,0.550,1.000,2026-08-05
dnm1l_gtpase_1_300_gdp_s7,DNM1L,af3_iptm,0.950,0.810,0.920,2026-08-10
gapdh_1_335_tetramer_nad,"",af3_iptm,0.950,0.950,0.950,2026-08-03
dnm1l_1_300_gdp,DNM1L,af3_iptm,0.950,0.810,0.920,2026-08-05
ldha_tetramer,"",af3_iptm,0.950,0.960,0.970,2026-08-05
mito_dnm1l_full_gdp_s7,DNM1L,af3_iptm,0.940,0.500,0.940,2026-08-13
mapk14_1_360_adp,MAPK14,af3_iptm,0.940,0.930,0.950,2026-08-05
dnm1l_1_300_gdp_cit,DNM1L,af3_iptm,0.940,0.830,0.920,2026-08-05
eno1_dimer,"",af3_iptm,0.940,0.950,0.940,2026-08-03
eno2_dimer,"",af3_iptm,0.940,0.960,0.940,2026-08-03
eno1_1_434_dimer_cit,"",af3_iptm,0.940,0.960,0.950,2026-08-05
mk2_full_atp,MK2,af3_iptm,0.940,0.770,1.030,2026-08-10
dnm1l_gtpase_1_300_gtp,DNM1L,af3_iptm,0.940,0.790,0.910,2026-08-10
prkaa1_1_550_adp,PRKAA1,af3_iptm,0.940,0.570,0.990,2026-08-05
hk1_c_450_917_adp,HK1,af3_iptm,0.940,0.900,0.940,2026-08-03
ldha_tetramer_nap,"",af3_iptm,0.940,0.950,0.960,2026-08-10
mito_dnm1l_full_gdp_s42,DNM1L,af3_iptm,0.940,0.530,0.940,2026-08-14
mito_dnm1l_gtpase_gtp_s42,DNM1L,af3_iptm,0.940,0.790,0.910,2026-08-14
dnm1l_gtpase_1_300_gtp_s7,DNM1L,af3_iptm,0.930,0.790,0.900,2026-08-10
dnm1l_1_300_gtp,DNM1L,af3_iptm,0.930,0.820,0.910,2026-08-05
dnm1l_1_500_gdp,DNM1L,af3_iptm,0.930,0.650,0.880,2026-08-05
prkaa2_1_552_amp,PRKAA2,af3_iptm,0.930,0.620,0.990,2026-08-05
ldha_1_332_nad,LDHA,af3_iptm,0.930,0.940,0.950,2026-08-05
p38g_full_atp,P38G,af3_iptm,0.930,0.870,0.950,2026-08-13
mito_dnm1l_gtpase_gtp_s7,DNM1L,af3_iptm,0.930,0.790,0.900,2026-08-13
p38g_full_atp_s7,P38G,af3_iptm,0.930,0.870,0.950,2026-08-13
p38d_full_atp_s7,P38D,af3_iptm,0.930,0.900,0.940,2026-08-13
dnm1l_1_710_gtp,DNM1L,af3_iptm,0.930,0.480,0.930,2026-07-31
uba1_adenylation_400_860_atp,UBA1,af3_iptm,0.930,0.580,0.900,2026-08-05
mapk14_1_360_atp,MAPK14,af3_iptm,0.930,0.930,0.940,2026-08-05
p38d_full_atp,P38D,af3_iptm,0.930,0.900,0.940,2026-08-13
nmj_musk_kinase_atp_s7,MUSK,af3_iptm,0.920,0.850,0.930,2026-08-15
mito_dnm1l_full_gtp_s42,DNM1L,af3_iptm,0.920,0.540,0.930,2026-08-14
eno1_1_434_cit,ENO1,af3_iptm,0.920,0.960,0.930,2026-08-05
p38a_full_atp,P38A,af3_iptm,0.920,0.930,0.930,2026-08-13
nrg1_x_erbb3,"",af3_iptm,0.920,0.850,0.920,2026-07-03
p38a_full_atp_s7,P38A,af3_iptm,0.920,0.930,0.930,2026-08-13
dnm1l_full_gtp,DNM1L,af3_iptm,0.920,0.540,0.930,2026-08-10
prkaa1_kinase_1_300_adp,PRKAA1,af3_iptm,0.920,0.830,0.950,2026-08-05
eno2_1_434_cit,ENO2,af3_iptm,0.920,0.950,0.920,2026-08-05
mito_dnm1l_full_gtp_s7,DNM1L,af3_iptm,0.920,0.490,0.920,2026-08-13
uba1_adenyl_400_860_atp,UBA1,af3_iptm,0.920,0.580,0.890,2026-08-06
nrg1_x_erbb4,"",af3_iptm,0.910,0.870,0.910,2026-07-03
p38b_full_atp_s7,P38B,af3_iptm,0.910,0.890,0.920,2026-08-13
prkaa1_kinase_1_300_atp,PRKAA1,af3_iptm,0.910,0.840,0.950,2026-08-05
pkm2_n_1_390_atp,PKM,af3_iptm,0.910,0.910,0.930,2026-08-05
ldha_n_1_162_nad,LDHA,af3_iptm,0.910,0.910,0.950,2026-08-05
mapk11_1_360_atp,MAPK11,af3_iptm,0.910,0.900,0.910,2026-08-05
prkaa2_kinase_1_300_atp,PRKAA2,af3_iptm,0.910,0.870,0.910,2026-08-05
pgk1_1_417_amp,PGK1,af3_iptm,0.910,0.890,0.910,2026-08-05
p38b_full_atp,P38B,af3_iptm,0.910,0.890,0.920,2026-08-13
dnm1l_1_710_gtp,DNM1L,af3_iptm,0.910,0.480,0.920,2026-08-05
pgk1_full_adp,PGK1,af3_iptm,0.910,0.880,0.900,2026-08-06
sarm1_arm_1_400_nad,SARM1,af3_iptm,0.900,0.830,0.950,2026-08-05
dnm1l_1_500_gtp_s7,DNM1L,af3_iptm,0.900,0.630,0.860,2026-08-10
hk1_c_450_917_atp,HK1,af3_iptm,0.900,0.880,0.910,2026-08-05
32_keap1_50_180_x_cul3_1_410,"",af3_iptm,0.900,0.810,0.930,2026-06-05
sarm1_arm_1_400_nad_s7,SARM1,af3_iptm,0.900,0.830,0.950,2026-08-10
sarm1_arm_1_400_nad,SARM1,af3_iptm,0.900,0.830,0.950,2026-08-10
dnm1l_1_500_gtp,DNM1L,af3_iptm,0.900,0.630,0.850,2026-08-10
04_keap1_bp_hrudzgglsqkyt1vb8ab0_bc27,"",af3_iptm,0.900,0.940,0.910,2026-07-04
smn1_260_294_x_smn1_none_none,"",af3_iptm,0.900,0.310,1.130,2026-07-08
smn1_260_294_x_smn1_none_none_2,"",af3_iptm,0.900,0.310,1.130,2026-08-06
sarm1_arm_1_400_nap,SARM1,af3_iptm,0.900,0.830,0.950,2026-08-10
of3_holo_KEAP1_cb86dd3c,KEAP1,af3_holo_iptm,0.899,0.506,,2026-07-30
ctrl_pos_mapk14_mapkapk2,"",af3_iptm,0.890,0.870,0.950,2026-07-31
mapk14_x_mapkapk2,"",af3_iptm,0.890,0.860,0.950,2026-05-26
pgk1_c_200_417_adp,PGK1,af3_iptm,0.890,0.850,0.880,2026-08-05
pgk1_1_417_adp,PGK1,af3_iptm,0.890,0.870,0.880,2026-08-05
p38a_x_mk2_s7,"",af3_iptm,0.890,0.870,0.950,2026-08-13
keap1_x_nfe2l2,"",af3_iptm,0.890,0.810,0.940,2026-06-30
nmj_musk_ig1_dimer_s7,"",af3_iptm,0.890,0.910,0.890,2026-08-15
01_mapk14_x_mapkapk2,"",af3_iptm,0.890,0.870,0.950,2026-06-05
ctrl_pos_mapk14_mapkapk2_2,"",af3_iptm,0.890,0.870,0.950,2026-08-06
mapkapk2_x_mapk14,"",af3_iptm,0.890,0.870,,2026-05-27
of3_holo_KEAP1_2e726fde,KEAP1,af3_holo_iptm,0.889,0.503,,2026-07-29
ctrl_pos_keap1_315_624_nfe2l2_1_100,"",af3_iptm,0.880,0.790,0.950,2026-07-31
binder7127_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.880,0.920,0.890,2026-07-21
binder7024_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.880,0.920,0.890,2026-07-21
keap1_x_palb2,"",af3_iptm,0.880,0.900,0.940,2026-06-30
binder6641_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.880,0.920,0.890,2026-07-22
pkm2_tetramer,"",af3_iptm,0.880,0.900,0.890,2026-08-03
tp73_dbd_tetramer_dna_s7,"",af3_iptm,0.870,0.890,0.870,2026-08-14
sarm1_arm_nad_s42,SARM1,af3_iptm,0.870,0.920,0.880,2026-08-13
binder6213_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.870,0.900,0.880,2026-07-22
a_x_b_c9e988ef,"",af3_iptm,0.870,0.910,0.880,2026-07-04
28_nfe2l2_1_100_x_keap1_315_624,"",af3_iptm,0.870,0.800,0.940,2026-06-05
binder5912_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.870,0.910,0.880,2026-07-22
binder6641_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.870,0.920,0.880,2026-07-20
a_x_b_20487272,"",af3_iptm,0.870,0.910,0.890,2026-08-01
a_x_b_89046ba5,"",af3_iptm,0.870,0.910,0.880,2026-07-04
mapk14_mapkapk2_atp,"",af3_iptm,0.870,0.860,0.930,2026-08-03
a_x_b_450a3bd5,"",af3_iptm,0.870,0.900,0.880,2026-07-30
sarm1_arm_1_400_nap_s7,SARM1,af3_iptm,0.870,0.820,0.930,2026-08-10
a_x_b_1b780cf1,"",af3_iptm,0.870,0.910,0.880,2026-07-02
binder6206_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.870,0.770,0.850,2026-07-22
of3_holo_KEAP1_70411686,KEAP1,af3_holo_iptm,0.868,0.497,,2026-08-02
p38b_x_mk2_s7,"",af3_iptm,0.860,0.830,0.920,2026-08-13
pgk1_c_200_417_atp,PGK1,af3_iptm,0.860,0.840,0.860,2026-08-05
