uniprot	cos_SMN1_P14639	cos_SMN2_Q16637	cos_ROCK2_O75116	cos_TP53_P04637	cos_PERP_P60468	sig_down	sig_up	signature_score	gene	ensembl	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	is_anchor	sma_papers	novelty_bucket	druggability_score	druggability_tier	druggability_note	atlas_score
P04150	0.5046452	0.61581445	0.48652393	0.80812764	0.79724956	0.6010583	0.80812764	0.70459294	NR3C1	ENSG00000113580	13.9	17.4	42.1	22.7	Nuclear receptor subfamily 3 group C member 1	Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	False	2	some_prior_work	1.0	clinical_precedent	bucket=1 clinical	0.70459294
Q9UKV0	0.47266862	0.57189846	0.49697798	0.7995539	0.7614387	0.57574594	0.7995539	0.6876499	HDAC9	ENSG00000048052	7.5	12.7	15.6	13.1	Histone deacetylase 9	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6876499
Q9Y2I7	0.46603155	0.58612347	0.46597943	0.7829819	0.7606228	0.56968933	0.7829819	0.6763356	PIKFYVE	ENSG00000115020	6.3	10.5	6.1	6.9	Phosphoinositide kinase, FYVE-type zinc finger containing	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=2 clinical	0.6763356
Q9UQL6	0.445798	0.5713824	0.47014785	0.7873874	0.75470555	0.5605085	0.7873874	0.67394793	HDAC5	ENSG00000108840	28.2	60.3	73.1	46.7	Histone deacetylase 5	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	False	4	some_prior_work	1.0	clinical_precedent	bucket=1 clinical	0.67394793
P78527	0.6171753	0.4894367	0.57595074	0.72190845	0.78463256	0.6167988	0.72190845	0.6693536	PRKDC	ENSG00000253729	11.2	14.8	25.3	16.1	Protein kinase, DNA-activated, catalytic subunit	Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=2 clinical	0.6693536
P48443	0.5271071	0.4675707	0.4956882	0.780777	0.7107242	0.5502725	0.780777	0.6655247	RXRG	ENSG00000143171	15.5	9.2	46.6	5.4	Retinoid X receptor gamma	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6655247
O43283	0.41874102	0.58946043	0.48183328	0.76391685	0.76608133	0.56402904	0.76391685	0.663973	MAP3K13	ENSG00000073803	33.3	28.2	4.4	9.8	Mitogen-activated protein kinase kinase kinase 13	Cancer-related genes, Enzymes, Predicted intracellular proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=2 clinical	0.663973
P19793	0.53208005	0.4525472	0.5031522	0.780458	0.6919383	0.5449294	0.780458	0.6626937	RXRA	ENSG00000186350	11.1	25.2	120.6	28.3	Retinoid X receptor alpha	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6626937
P42677	0.51037514	0.5346124	0.41538006	0.7425874	0.8508632	0.5778077	0.7425874	0.66019756	RPS27	ENSG00000177954	3198.9	2115.7	4810.1	3392.0	Ribosomal protein S27	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.66019756
Q03181	0.5725256	0.42623422	0.516972	0.7508347	0.70107377	0.55420136	0.7508347	0.65251803	PPARD	ENSG00000112033	23.8	33.1	27.9	22.2	Peroxisome proliferator activated receptor delta	FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	False	1	some_prior_work	1.0	clinical_precedent	bucket=1 clinical	0.65251803
