dir	partner_id	prot_len	ligand_smiles	iptm	lig_iptm	ptm	complex_plddt	confidence	affinity_pred_value	http_code	FAILED	COMPLETE
boltz2_perp_musk_w3_04_49790	MUSK_w3_04	869	Cc1cccc(NC(=O)CN2C(=O)c3ccccc3C2=O)c1	0.9435714483261108	0.9435714483261108	0.4165554940700531	0.662800133228302	0.7189543843269348		200	False	True
boltz2_perp_musk_w3_02_88305	MUSK_w3_02	869	CC1=NN(c2ccc(NC(=O)N(C)C(C)(C)CO)cc2)C(=	0.9376312494277954	0.9376312494277954	0.4249328374862671	0.6556694507598877	0.7120618224143982		200	False	True
boltz2_perp_musk_w3_07_82908	MUSK_w3_07	869	Cc1cccc(NC2=C(c3nccs3)C(=O)OC2)c1	0.9150940179824829	0.9150940179824829	0.44470861554145813	0.6565362215042114	0.7082477807998657		200	True	False
boltz2_perp_musk_w3_00_54398	MUSK_w3_00	869	Cc1cccc(NC(=O)C2=NN(c3cccs3)C(=O)C2)c1	0.9122602939605713	0.9122602939605713	0.447872519493103	0.6595188975334167	0.7100672125816345		200	True	False
boltz2_perp_musk_w3_03_62061	MUSK_w3_03	869	COCC(=O)N1CCC[C@@H](N=c2ncc(Cl)c[nH]2)C1	0.898700475692749	0.898700475692749	0.41432181000709534	0.6445335745811462	0.6953669786453247		200	False	True
boltz2_perp_perp_w3_04_49790	PERP_w3_04	193	Cc1cccc(NC(=O)CN2C(=O)c3ccccc3C2=O)c1	0.8403750061988831	0.8403750061988831	0.8543949127197266	0.4999786615371704	0.5680579543113708		200	False	True
boltz2_perp_musk_w3_09_96157	MUSK_w3_09	869	COCCN1CCCC[C@@H]1CNC(=O)c1ccc(C)cn1	0.8346150517463684	0.8346150517463684	0.4086616635322571	0.6410109400749207	0.6797317862510681		200	True	False
boltz2_perp_perp_w3_00_54398	PERP_w3_00	193	Cc1cccc(NC(=O)C2=NN(c3cccs3)C(=O)C2)c1	0.8338410258293152	0.8338410258293152	0.7830556035041809	0.529926598072052	0.5907095074653625		200	False	True
boltz2_perp_musk_w3_01_6052	MUSK_w3_01	869	Cc1cccc(NC(=O)C2=C(c3cccs3)OCCO2)c1	0.8186335563659668	0.8186335563659668	0.4093509316444397	0.6592681407928467	0.6911412477493286		200	False	True
boltz2_perp_chrna1_w3_03_62061	CHRNA1_w3_03	457	COCC(=O)N1CCC[C@@H](N=c2ncc(Cl)c[nH]2)C1	0.806700587272644	0.806700587272644	0.7119752764701843	0.6026648283004761	0.6434720158576965		200	False	True
boltz2_perp_chrna1_w3_09_96157	CHRNA1_w3_09	457	COCCN1CCCC[C@@H]1CNC(=O)c1ccc(C)cn1	0.8061348795890808	0.8061348795890808	0.633569061756134	0.6663188934326172	0.6942821145057678		200	True	False
boltz2_perp_musk_w3_05_53775	MUSK_w3_05	869	C[C@@H](O)CN(C(=O)Nc1ccc(N2CCCC2=O)cc1)C	0.7770687937736511	0.7770687937736511	0.409098744392395	0.6574383974075317	0.6813644766807556		200	False	True
boltz2_perp_chrna1_w3_07_82908	CHRNA1_w3_07	457	Cc1cccc(NC2=C(c3nccs3)C(=O)OC2)c1	0.7707639932632446	0.7707639932632446	0.6542444825172424	0.6581720113754272	0.6806904077529907		200	False	True
boltz2_perp_musk_w3_08_63326	MUSK_w3_08	869	Cn1nnc(C(C)(C)NC(=O)Nc2ccc(N3CCCC3=O)cc2	0.7384412884712219	0.7384412884712219	0.41363054513931274	0.6510670781135559	0.6685419082641602		200	False	True
boltz2_perp_chrna1_w3_06_30753	CHRNA1_w3_06	457	C[C@@H]1CN(C2CC(NC(=O)C3(c4ccc(Cl)cc4)CC	0.7329128384590149	0.7329128384590149	0.6158692836761475	0.6445840001106262	0.662249743938446		200	False	True
boltz2_perp_perp_w3_03_62061	PERP_w3_03	193	COCC(=O)N1CCC[C@@H](N=c2ncc(Cl)c[nH]2)C1	0.7272070646286011	0.7272070646286011	0.8398758172988892	0.5126497745513916	0.5555612444877625		200	False	True
boltz2_perp_perp_w3_07_82908	PERP_w3_07	193	Cc1cccc(NC2=C(c3nccs3)C(=O)OC2)c1	0.7229486703872681	0.7229486703872681	0.8400400280952454	0.5178745985031128	0.5588893890380859		200	False	True
boltz2_perp_musk_w3_06_30753	MUSK_w3_06	869	C[C@@H]1CN(C2CC(NC(=O)C3(c4ccc(Cl)cc4)CC	0.7220228314399719	0.7220228314399719	0.4033481478691101	0.6520938873291016	0.6660796999931335		200	True	False
boltz2_perp_chrna1_w3_00_54398	CHRNA1_w3_00	457	Cc1cccc(NC(=O)C2=NN(c3cccs3)C(=O)C2)c1	0.6980116963386536	0.6980116963386536	0.6506332159042358	0.6129480004310608	0.6299607157707214		200	False	True
boltz2_perp_perp_w3_08_63326	PERP_w3_08	193	Cn1nnc(C(C)(C)NC(=O)Nc2ccc(N3CCCC3=O)cc2	0.6821089386940002	0.6821089386940002	0.8824102282524109	0.5078728795051575	0.5427200794219971		200	False	True
boltz2_perp_chrna1_w3_08_63326	CHRNA1_w3_08	457	Cn1nnc(C(C)(C)NC(=O)Nc2ccc(N3CCCC3=O)cc2	0.6725552678108215	0.6725552678108215	0.5798754096031189	0.6451283693313599	0.6506137251853943		200	False	True
boltz2_perp_chrna1_w3_04_49790	CHRNA1_w3_04	457	Cc1cccc(NC(=O)CN2C(=O)c3ccccc3C2=O)c1	0.6715261936187744	0.6715261936187744	0.6462222933769226	0.6142758131027222	0.6257259249687195		200	True	False
